bevægelsestype	ejendomskategori	postnumre	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Solgte boliger	Parcel-/rækkehus	7673 Harboøre	6	5	1	2	2	1	6	10	5	7	3	5	4	4	9	7	9	6	6	3	4	6	3	1	3	4	3	1	0	1	8	2	4	0	2	4	2	0	1	4	0	1	4	3	2	1	3	1
Solgte boliger	Parcel-/rækkehus	7680 Thyborøn	3	3	0	0	2	3	6	7	5	9	5	12	8	8	10	5	2	4	1	5	1	2	9	5	4	2	10	8	1	5	2	3	6	2	2	3	0	0	3	1	2	3	2	1	5	6	6	2
Solgte boliger	Parcel-/rækkehus	7700 Thisted	43	50	27	48	39	64	57	30	61	64	46	33	51	62	62	48	77	73	59	33	37	49	53	39	40	49	48	42	35	43	47	22	43	40	34	38	32	42	41	22	34	50	47	29	43	40	57	30
Solgte boliger	Parcel-/rækkehus	7730 Hanstholm	2	5	2	2	3	10	7	5	8	6	4	8	9	8	7	6	9	12	11	2	5	3	6	4	4	4	7	6	2	3	6	3	5	2	8	4	3	7	2	5	1	6	2	5	2	2	4	1
Solgte boliger	Parcel-/rækkehus	7741 Frøstrup	1	1	4	1	2	2	2	4	2	2	2	1	2	2	5	2	4	4	1	3	1	1	0	1	3	3	0	0	2	0	4	2	2	1	2	2	2	1	2	1	2	1	3	2	5	3	0	3
Solgte boliger	Parcel-/rækkehus	7742 Vesløs	2	4	2	4	2	0	6	1	1	1	5	5	3	3	3	6	1	3	5	2	3	1	3	2	4	1	2	2	2	0	1	1	0	1	0	0	2	1	3	2	1	0	1	1	0	1	2	0
Solgte boliger	Parcel-/rækkehus	7752 Snedsted	7	11	8	13	15	13	18	11	18	12	11	14	16	17	13	16	12	17	19	12	10	9	4	6	7	13	9	11	8	6	9	5	5	4	8	7	3	9	6	7	5	6	8	12	1	6	12	8
Solgte boliger	Parcel-/rækkehus	7755 Bedsted Thy	7	1	5	6	5	3	11	4	6	8	6	5	8	10	12	7	11	6	9	4	6	3	8	2	6	3	3	5	2	4	7	4	3	4	4	5	2	11	5	5	7	1	4	4	4	4	1	4
Solgte boliger	Parcel-/rækkehus	7760 Hurup Thy	10	17	7	11	14	13	21	16	14	24	16	10	10	11	16	15	19	23	10	11	10	17	13	9	13	12	11	5	8	6	8	9	4	11	7	4	10	9	3	9	8	8	9	6	12	5	11	7
Solgte boliger	Parcel-/rækkehus	7770 Vestervig	2	6	2	3	3	7	3	8	3	10	2	3	0	6	2	1	4	2	2	6	2	2	6	4	2	1	4	4	0	2	3	2	3	2	1	1	5	4	2	2	2	6	2	4	3	1	5	0
Solgte boliger	Parcel-/rækkehus	7790 Thyholm	6	3	2	7	7	12	4	7	6	7	11	2	6	7	5	3	4	7	13	9	6	4	4	7	6	6	4	9	4	6	4	1	2	3	6	4	5	5	5	3	7	6	4	8	7	9	5	3
Solgte boliger	Parcel-/rækkehus	7800 Skive	45	52	31	40	40	68	46	32	38	57	35	30	35	40	47	41	28	55	40	36	31	40	28	29	42	40	30	37	26	28	32	30	34	32	25	32	17	36	33	27	25	35	37	41	30	27	35	30
Solgte boliger	Parcel-/rækkehus	7830 Vinderup	11	19	13	15	8	23	17	15	25	23	26	19	16	13	22	18	16	27	26	10	6	9	12	15	11	13	14	8	8	12	9	2	6	9	6	7	8	12	8	8	11	8	6	5	7	12	9	10
Solgte boliger	Parcel-/rækkehus	7840 Højslev	11	10	2	9	12	20	13	11	12	13	8	8	5	11	7	3	5	10	10	7	6	9	7	15	7	8	8	6	10	2	5	4	7	8	5	6	3	6	5	1	6	10	7	6	5	7	10	3
Solgte boliger	Parcel-/rækkehus	7850 Stoholm Jyll	14	3	5	9	5	19	12	6	10	6	10	7	8	16	19	7	7	12	14	7	2	5	3	6	2	4	7	3	5	5	10	4	3	2	5	2	4	5	7	3	2	5	9	7	3	6	7	6
Solgte boliger	Parcel-/rækkehus	7860 Spøttrup	6	13	12	11	15	19	26	18	16	16	24	16	25	24	18	32	24	21	18	16	10	8	9	8	13	12	12	16	8	6	3	8	3	4	6	4	4	5	4	5	4	5	9	8	4	6	11	5
Solgte boliger	Parcel-/rækkehus	7870 Roslev	21	15	19	17	20	30	23	21	33	31	27	25	31	38	32	32	29	25	15	12	13	16	9	13	20	21	24	11	7	13	20	10	13	12	12	10	8	13	11	17	8	11	6	12	7	10	17	13
Solgte boliger	Parcel-/rækkehus	7884 Fur	2	4	1	3	1	2	4	4	4	5	5	0	0	3	3	2	1	0	0	1	2	1	3	1	0	0	3	1	2	1	2	1	1	0	2	1	0	2	0	1	1	2	0	3	0	3	4	1
Solgte boliger	Parcel-/rækkehus	7900 Nykøbing M	28	36	20	22	23	44	33	36	45	49	44	19	39	35	49	31	37	40	35	27	26	33	29	19	26	37	17	18	24	14	22	13	16	18	22	17	13	16	19	15	19	22	21	20	24	21	26	24
Solgte boliger	Parcel-/rækkehus	7950 Erslev	8	4	4	8	10	2	11	7	8	10	10	8	11	10	11	7	5	9	17	7	3	5	5	3	6	8	9	1	4	7	1	5	9	1	3	3	5	7	5	7	1	6	9	3	3	5	6	5
Solgte boliger	Parcel-/rækkehus	7960 Karby	2	4	1	2	2	2	3	4	5	9	3	4	5	5	0	7	1	3	2	2	2	1	2	0	0	0	1	1	1	2	3	2	0	0	1	0	1	1	1	0	3	1	1	0	1	3	1	0
