bevægelsestype	ejendomskategori	postnumre	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Solgte boliger	Parcel-/rækkehus	7970 Redsted M	3	0	1	2	0	2	1	1	2	3	5	3	1	2	1	2	2	3	1	1	1	1	2	1	3	0	1	1	1	0	0	0	2	0	0	1	0	2	1	2	1	0	1	1	0	0	1	0
Solgte boliger	Parcel-/rækkehus	7980 Vils	2	0	0	1	0	4	0	1	0	0	2	0	2	3	2	5	0	4	1	0	1	2	2	1	0	0	1	2	0	5	1	0	2	2	1	2	1	0	2	1	0	0	0	2	0	0	0	0
Solgte boliger	Parcel-/rækkehus	7990 Øster Assels	5	3	2	5	4	1	7	5	3	5	4	1	2	6	1	5	4	4	7	2	2	3	2	4	1	1	2	2	1	1	2	0	0	1	0	0	2	2	0	4	0	0	3	2	1	1	1	3
Solgte boliger	Parcel-/rækkehus	8000 Århus C	15	15	6	7	8	7	5	5	6	8	4	2	10	7	8	3	5	11	8	3	4	6	7	6	7	9	7	12	7	11	8	4	8	9	10	6	6	7	6	8	12	7	13	6	9	5	10	9
Solgte boliger	Parcel-/rækkehus	8200 Århus N	14	11	7	15	10	20	22	8	12	13	13	3	10	15	9	24	13	12	9	11	4	16	17	17	16	19	16	16	13	16	17	12	11	21	25	16	20	27	12	21	8	18	12	10	21	22	14	18
Solgte boliger	Parcel-/rækkehus	8210 Århus V	31	33	16	23	25	24	29	18	30	19	17	15	23	20	22	19	22	29	17	9	13	13	28	21	18	23	20	14	18	20	22	21	27	32	17	20	19	29	19	22	12	27	30	25	20	33	24	17
Solgte boliger	Parcel-/rækkehus	8220 Brabrand	17	16	6	19	12	24	24	18	18	56	22	3	10	18	21	23	20	28	18	15	11	17	23	19	19	24	30	22	14	18	17	18	17	18	21	20	18	25	20	13	28	35	24	17	30	31	28	29
Solgte boliger	Parcel-/rækkehus	8230 Åbyhøj	19	15	15	15	13	22	13	14	10	17	12	8	16	19	12	11	21	15	9	6	13	12	11	22	11	23	24	17	18	18	10	20	17	25	17	18	13	19	19	13	12	22	26	16	20	19	20	10
Solgte boliger	Parcel-/rækkehus	8240 Risskov	32	29	20	32	24	29	29	37	28	32	23	22	23	28	23	24	40	25	37	12	18	39	40	32	40	43	39	30	38	29	21	35	36	39	47	34	33	34	40	41	24	53	44	40	62	67	58	34
Solgte boliger	Parcel-/rækkehus	8250 Egå	16	17	7	14	16	21	18	16	11	16	10	9	12	14	16	8	9	8	10	4	12	16	14	14	19	23	31	14	11	13	11	13	14	17	16	16	15	19	15	20	16	19	7	19	21	37	31	18
Solgte boliger	Parcel-/rækkehus	8260 Viby J	28	25	19	22	22	28	32	25	23	19	18	19	15	23	17	23	25	31	25	12	22	12	31	21	27	40	41	29	17	18	19	19	25	35	33	20	23	45	28	28	24	43	37	33	31	57	44	24
Solgte boliger	Parcel-/rækkehus	8270 Højbjerg	35	34	27	27	32	39	29	32	21	37	24	18	28	37	34	30	26	49	17	13	20	30	36	27	22	43	38	41	26	22	26	24	23	39	29	31	35	46	40	28	34	48	37	38	37	63	42	50
Solgte boliger	Parcel-/rækkehus	8300 Odder	63	62	41	43	64	61	51	40	45	43	34	23	53	45	39	41	36	41	36	19	22	30	40	27	32	43	30	38	38	24	25	26	27	35	27	29	17	26	35	28	18	33	33	23	28	48	39	26
Solgte boliger	Parcel-/rækkehus	8305 Samsø	10	5	5	5	5	12	6	12	10	5	23	8	12	10	18	7	15	16	11	2	8	8	9	8	8	11	10	8	5	12	11	9	6	14	4	5	5	3	11	6	4	14	14	9	8	7	12	8
Solgte boliger	Parcel-/rækkehus	8310 Tranbjerg J	18	20	10	16	10	18	14	12	8	21	13	7	19	21	13	26	19	13	12	12	6	5	26	16	29	21	21	19	19	10	20	11	13	10	19	8	21	19	23	9	15	21	17	39	26	27	25	23
Solgte boliger	Parcel-/rækkehus	8320 Mårslet	10	6	7	2	10	6	11	15	5	8	7	4	12	16	11	9	7	18	4	6	12	10	9	11	15	13	7	8	9	8	9	14	5	13	10	7	9	13	8	13	14	20	11	12	17	11	10	16
Solgte boliger	Parcel-/rækkehus	8330 Beder	9	3	4	5	3	4	12	8	5	3	4	4	13	6	7	6	9	7	6	3	7	4	12	8	10	8	5	5	3	9	6	7	2	4	9	5	2	9	4	9	7	13	11	9	7	13	9	11
Solgte boliger	Parcel-/rækkehus	8340 Malling	6	4	1	3	5	8	2	3	2	3	6	3	6	5	3	4	0	9	1	4	3	8	7	8	8	9	6	5	6	5	1	5	5	4	3	7	10	4	10	5	11	8	4	4	6	15	12	13
Solgte boliger	Parcel-/rækkehus	8350 Hundslund	6	6	4	5	5	6	5	2	2	5	3	3	3	3	6	3	5	2	1	2	0	3	3	3	2	1	6	3	3	2	0	3	1	1	2	1	1	0	0	4	2	1	0	1	4	1	0	1
Solgte boliger	Parcel-/rækkehus	8355 Solbjerg	7	9	6	7	9	10	3	9	8	4	6	6	11	7	8	11	7	8	2	4	3	4	7	8	6	9	10	7	3	11	8	7	6	3	8	7	6	8	13	8	6	9	8	12	10	11	5	5
Solgte boliger	Parcel-/rækkehus	8361 Hasselager	11	14	8	8	15	9	7	15	14	13	7	8	6	9	13	9	11	10	10	9	5	6	12	9	10	11	17	14	11	8	8	4	10	9	18	8	10	10	12	9	13	16	21	7	10	25	14	23
Solgte boliger	Parcel-/rækkehus	8362 Hørning	20	28	17	12	13	24	16	16	10	21	17	15	13	15	13	13	16	28	16	6	9	11	17	17	15	28	19	14	10	19	12	11	14	18	17	10	11	18	5	16	14	20	18	17	13	24	31	18
Solgte boliger	Parcel-/rækkehus	8370 Hadsten	25	38	15	25	28	34	30	38	30	33	21	13	23	27	21	25	34	34	19	13	15	25	15	16	28	22	22	19	24	22	22	20	17	21	12	19	21	22	25	23	17	23	19	17	26	39	27	23
Solgte boliger	Parcel-/rækkehus	8380 Trige	10	8	7	6	10	20	14	21	22	7	4	4	2	2	5	2	4	5	4	6	3	6	5	2	4	6	8	5	1	7	0	5	10	1	5	3	3	5	6	6	5	5	4	6	11	8	4	11
Solgte boliger	Parcel-/rækkehus	8381 Tilst	24	23	14	15	17	25	15	23	15	15	29	6	10	16	18	14	14	24	24	5	6	10	10	17	23	13	14	14	18	31	23	21	20	19	18	11	20	16	25	20	16	21	18	21	33	23	24	18
Solgte boliger	Parcel-/rækkehus	8382 Hinnerup	21	27	17	23	31	36	29	33	28	30	19	23	20	29	15	16	31	20	22	10	15	24	20	30	19	28	20	18	22	28	17	11	26	21	27	18	17	30	27	12	19	25	23	23	21	18	20	15
Solgte boliger	Parcel-/rækkehus	8400 Ebeltoft	21	27	28	28	31	24	37	35	33	30	29	26	17	21	22	21	18	20	15	9	10	15	13	17	14	15	15	16	20	17	14	14	9	12	20	15	9	13	15	17	9	17	10	13	19	26	27	16
Solgte boliger	Parcel-/rækkehus	8410 Rønde	13	18	10	11	18	28	18	20	17	20	17	14	12	15	21	17	11	11	8	6	7	13	20	7	16	20	21	8	9	10	7	10	12	13	10	8	12	16	10	12	8	15	14	18	12	22	27	10
Solgte boliger	Parcel-/rækkehus	8420 Knebel	7	10	4	5	9	11	13	5	9	8	5	6	6	4	8	2	7	6	6	3	0	8	0	6	4	3	7	2	3	1	2	6	3	3	6	7	3	3	5	2	0	2	5	5	2	6	4	4
Solgte boliger	Parcel-/rækkehus	8444 Balle	4	5	4	5	3	7	5	2	2	6	4	1	7	2	1	4	2	6	0	3	3	2	2	3	1	3	3	1	0	3	2	1	2	2	3	1	0	3	1	1	1	3	1	1	1	4	1	0
Solgte boliger	Parcel-/rækkehus	8450 Hammel	17	18	18	15	22	26	30	18	11	25	15	22	23	24	27	27	26	37	16	9	17	18	22	23	17	21	17	19	15	11	16	11	14	24	12	16	11	27	20	16	19	15	22	10	18	23	18	16
Solgte boliger	Parcel-/rækkehus	8462 Harlev J	9	7	7	3	7	9	8	5	4	8	6	4	7	8	6	11	8	7	4	4	6	12	3	7	6	7	6	10	6	11	9	10	10	6	5	6	6	9	8	12	7	12	7	9	13	7	11	13
Solgte boliger	Parcel-/rækkehus	8464 Galten	22	34	14	25	32	35	30	18	25	31	23	9	28	31	23	27	20	33	23	13	12	30	27	19	24	35	25	26	13	18	17	16	14	10	17	24	16	23	13	13	13	22	18	13	22	33	31	20
Solgte boliger	Parcel-/rækkehus	8471 Sabro	7	8	4	11	4	9	8	15	9	7	7	5	6	10	11	8	7	9	15	3	5	7	6	6	18	10	7	9	7	10	8	6	8	5	11	13	4	4	4	12	9	9	20	12	10	10	9	8
Solgte boliger	Parcel-/rækkehus	8472 Sporup	0	5	2	2	2	6	4	3	5	5	2	2	0	1	0	4	0	1	4	2	3	2	2	2	1	2	2	1	9	2	7	0	2	3	5	2	4	3	0	1	0	0	2	3	0	2	1	1
Solgte boliger	Parcel-/rækkehus	8500 Grenaa	20	40	33	35	31	45	40	30	40	31	44	23	21	39	38	41	40	32	34	17	29	31	33	29	27	30	39	24	26	22	29	18	27	24	20	25	25	20	25	16	20	35	21	27	33	31	34	30
Solgte boliger	Parcel-/rækkehus	8520 Lystrup	11	6	6	14	17	12	16	9	3	10	10	2	15	17	13	13	26	27	22	8	12	27	22	21	25	28	34	15	20	17	10	15	13	27	18	22	22	24	17	18	19	23	23	24	33	39	40	17
Solgte boliger	Parcel-/rækkehus	8530 Hjortshøj	4	7	12	6	9	9	3	9	7	9	3	5	2	12	8	8	9	6	8	5	2	8	6	4	6	12	14	2	6	7	7	5	2	9	5	7	6	8	7	9	11	7	8	12	9	10	7	9
Solgte boliger	Parcel-/rækkehus	8541 Skødstrup	17	7	6	10	16	15	16	11	13	9	9	8	8	23	15	10	7	14	12	7	13	15	19	11	16	13	15	16	15	16	13	10	8	15	15	10	9	20	8	16	12	9	16	14	19	24	18	13
Solgte boliger	Parcel-/rækkehus	8543 Hornslet	16	15	9	8	20	29	16	15	16	18	12	5	12	24	9	19	14	26	13	7	7	17	15	12	9	14	8	7	13	16	15	12	16	7	24	11	9	13	13	17	13	10	15	11	15	21	19	21
Solgte boliger	Parcel-/rækkehus	8544 Mørke	12	14	12	14	6	11	4	7	9	6	2	3	6	8	11	7	7	5	5	5	4	7	7	8	3	7	12	5	6	5	11	3	5	6	7	4	2	7	6	3	0	8	11	6	3	3	6	10
Solgte boliger	Parcel-/rækkehus	8550 Ryomgård	10	13	5	12	12	15	16	5	14	23	7	10	12	15	13	14	8	9	5	3	5	7	10	2	10	7	6	1	6	5	6	6	6	5	2	1	10	8	7	6	11	5	2	4	15	9	6	3
Solgte boliger	Parcel-/rækkehus	8560 Kolind	9	11	5	5	9	17	16	13	6	12	8	10	12	11	8	7	9	7	4	1	8	6	4	4	6	10	9	2	3	2	4	5	3	5	9	3	4	4	6	6	7	4	3	3	13	3	10	5
Solgte boliger	Parcel-/rækkehus	8570 Trustrup	2	8	0	5	5	5	7	7	2	5	5	7	5	11	7	3	4	4	5	2	0	1	3	4	2	2	5	2	3	3	4	1	1	4	4	4	4	2	3	3	4	5	6	2	3	2	3	10
Solgte boliger	Parcel-/rækkehus	8581 Nimtofte	2	2	2	1	5	4	7	8	4	2	1	2	4	3	5	5	1	6	2	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	1	0	0	3	1	2	1	3	0	2	2	0	0	2
Solgte boliger	Parcel-/rækkehus	8585 Glesborg	3	6	5	5	5	10	5	11	3	10	5	7	4	6	3	9	5	8	7	3	6	8	6	7	5	4	8	7	2	5	5	5	7	4	6	5	2	6	4	2	2	1	8	5	5	4	5	4
Solgte boliger	Parcel-/rækkehus	8586 Ørum Djurs	5	5	7	4	3	8	5	5	7	4	9	4	7	5	8	8	4	6	3	3	3	3	2	1	0	4	3	3	6	2	3	4	1	2	1	1	1	2	3	3	0	2	0	3	5	4	3	4
Solgte boliger	Parcel-/rækkehus	8592 Anholt	0	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	..	0	0	0	0	1	..	..	..	..	..	..	..	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1
Solgte boliger	Ejerlejlighed	7673 Harboøre	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7680 Thyborøn	..	..	..	..	..	..	..	..	0	0	0	..	..	..	..	..	..	..	1	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7700 Thisted	10	3	7	8	8	6	4	5	1	4	8	1	11	3	3	9	8	6	4	3	5	1	3	0	1	4	5	2	1	2	5	2	2	0	4	3	1	5	2	3	1	2	2	4	4	4	1	6
Solgte boliger	Ejerlejlighed	7730 Hanstholm	..	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	0	1	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7741 Frøstrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7742 Vesløs	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0
Solgte boliger	Ejerlejlighed	7752 Snedsted	0	0	0	1	0	..	..	..	0	0	0	0	1	..	0	0	..	..	..	..	..	..	0	1	0	0	1	1	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	..
Solgte boliger	Ejerlejlighed	7755 Bedsted Thy	0	0	0	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7760 Hurup Thy	..	..	..	..	..	..	..	..	..	..	..	..	0	0	2	..	..	..	..	0	0	0	0	0	..	..	..	..	..	..	..	..	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7770 Vestervig	..	..	..	..	..	..	..	..	..	..	..	..	0	2	4	1	0	2	2	0	1	0	0	1	2	4	4	1	1	0	0	1	1	2	1	2	0	4	3	1	1	2	0	0	0	4	2	0
Solgte boliger	Ejerlejlighed	7790 Thyholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7800 Skive	1	7	4	3	6	4	1	2	4	3	2	2	2	2	4	4	3	4	6	2	2	6	1	2	6	1	3	0	2	3	4	4	4	2	1	3	3	1	1	0	0	2	2	1	3	2	0	2
Solgte boliger	Ejerlejlighed	7830 Vinderup	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	..	..	..	..	..	..	0	1	0	0	..	0	0	0	0	1	1	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7840 Højslev	0	0	0	1	..	..	0	1	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	..	..	0	0	0
Solgte boliger	Ejerlejlighed	7850 Stoholm Jyll	0	0	0	0	0	0	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7860 Spøttrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7870 Roslev	..	..	..	..	..	..	..	..	0	0	0	0	0	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7884 Fur	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	..	..	..	..
Solgte boliger	Ejerlejlighed	7900 Nykøbing M	0	..	..	..	0	0	0	0	..	..	0	0	1	1	0	..	..	0	1	..	..	0	0	0	0	0	0	1	0	..	0	1	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0
Solgte boliger	Ejerlejlighed	7950 Erslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7960 Karby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7970 Redsted M	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7980 Vils	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	7990 Øster Assels	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solgte boliger	Ejerlejlighed	8000 Århus C	203	164	116	133	171	175	227	156	191	145	129	85	121	163	183	139	167	162	126	69	79	172	153	135	143	185	183	148	142	107	137	123	113	142	163	134	129	145	155	112	143	166	204	173	241	292	224	186
Solgte boliger	Ejerlejlighed	8200 Århus N	34	41	25	39	45	52	51	26	49	33	33	12	22	51	43	31	33	35	30	27	20	31	51	38	33	42	46	30	33	43	40	31	29	31	42	35	19	54	41	29	35	50	48	36	53	83	56	34
Solgte boliger	Ejerlejlighed	8210 Århus V	5	4	4	3	3	19	42	32	20	9	6	5	4	12	8	1	4	11	7	0	0	9	7	4	6	7	9	6	8	4	4	7	4	9	5	3	5	6	10	8	5	10	10	4	9	10	9	6
Solgte boliger	Ejerlejlighed	8220 Brabrand	12	15	11	9	11	15	6	6	9	5	10	3	4	10	2	9	13	12	7	3	6	12	12	12	8	11	6	6	9	8	9	7	6	3	5	6	7	7	9	7	12	8	10	13	7	13	12	7
Solgte boliger	Ejerlejlighed	8230 Åbyhøj	10	17	14	13	16	22	19	15	9	13	12	10	18	12	13	12	11	6	8	3	15	10	13	12	8	8	15	15	8	13	13	7	5	14	14	13	10	9	21	14	8	8	29	8	9	19	23	18
Solgte boliger	Ejerlejlighed	8240 Risskov	19	22	9	23	24	22	24	14	10	13	22	9	17	10	22	13	14	22	17	9	13	15	24	14	21	25	18	19	19	13	13	14	9	23	28	18	19	18	24	16	22	18	17	23	22	26	33	23
Solgte boliger	Ejerlejlighed	8250 Egå	2	16	10	8	8	7	8	3	8	7	3	4	3	7	3	6	6	7	7	2	6	3	1	5	6	5	6	5	4	5	3	3	6	9	7	4	4	7	2	4	7	2	5	12	6	6	5	8
Solgte boliger	Ejerlejlighed	8260 Viby J	21	13	16	16	19	28	33	32	21	13	16	11	18	24	24	19	12	14	11	5	15	15	25	14	19	11	24	18	10	12	17	8	13	13	21	17	16	18	20	18	18	19	24	19	22	25	22	20
Solgte boliger	Ejerlejlighed	8270 Højbjerg	10	9	11	15	15	25	21	20	25	15	11	6	10	17	11	15	8	8	4	3	3	8	8	12	15	11	20	19	9	19	10	9	12	10	9	6	12	8	16	11	11	7	14	18	14	22	18	14
Solgte boliger	Ejerlejlighed	8300 Odder	16	16	8	8	8	10	8	11	13	12	10	5	7	9	7	6	4	9	3	4	13	4	3	3	6	6	9	8	7	4	4	2	6	7	5	6	1	3	4	4	3	1	7	2	6	7	6	8
Solgte boliger	Ejerlejlighed	8305 Samsø	0	..	..	..	..	..	..	0	1	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
Solgte boliger	Ejerlejlighed	8310 Tranbjerg J	..	0	0	..	..	..	..	..	..	..	0	..	..	0	0	0	0	0	0	0	..	1	0	1	0	0	2	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	1	2	1	..	..	0
Solgte boliger	Ejerlejlighed	8320 Mårslet	..	..	..	..	..	..	..	..	..	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	..	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Solgte boliger	Ejerlejlighed	8330 Beder	1	1	..	..	..	..	..	..	..	..	0	3	..	..	4	1	1	3	2	1	1	1	..	..	1	0	1	4	..	..	2	1	2	1	1	1	0	0	2	0	2	1	0	2	2	2	2	3
Solgte boliger	Ejerlejlighed	8340 Malling	..	..	..	..	..	..	0	1	..	0	0	0	0	1	1	0	0	0	0	..	..	..	..	..	..	0	1	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	..	..	..	0
