priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	7300 Jelling	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6186	6119	5643	6377	7358	7198	8684	8743	8355	8711	10913	10785	9615	10267	10390	12644	8126	12025	12371	11012	8477	15543	12822	..	12725	9964	12752	8383	12490	12491	11573	10070	11866	11094	10384	9827	9609	11678	12510	8945	12599	10077	11532	10780	10463	8684	9752	9500
Første udbudspris	Parcel-/rækkehus	7321 Gadbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4699	6084	7242	..	6825	6435	6523	..	6771	8873	7976	6007	7958	8127	9660	..	..	..	7986	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7323 Give	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5071	6172	6296	6028	6329	5858	6445	6867	7625	6870	7072	7590	7695	8255	8093	8279	8934	9802	9042	10731	9067	9085	8802	9376	8841	9560	10013	8622	9186	8885	9481	6932	7712	7364	8172	8743	9644	6501	8759	7018	8568	8399	7889	8049	9051	8988	7947	7340
Første udbudspris	Parcel-/rækkehus	7330 Brande	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5737	6059	5063	5264	6098	6181	6017	6870	6535	7593	7903	7157	7821	8193	11207	8785	8919	9364	8954	8171	11619	9260	9996	9185	9165	9709	9478	10291	10406	8853	9041	6924	8617	8615	9187	9879	8016	8413	9739	8517	10081	8807	7042	8882	7591	8988	9026	6338
Første udbudspris	Parcel-/rækkehus	7361 Ejstrupholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5202	..	5480	..	5113	..	..	..	6820	..	7000	5314	5941	7497	..	6672	..	6180	7790	7690	..	6206	8940	6668	..	7368	6231	9733	..	..	..	..	..	..	..	6382	..	..	..	..	5329	..	7083	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7362 Hampen	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5764	..	..	..	..	..	..	..	..	..	..	6464	6761	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7400 Herning	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7395	7058	7893	8303	8277	8629	8864	9068	9447	9918	10694	11014	11303	11929	11894	11712	12426	11679	11697	12258	11974	11589	12160	11917	11343	12104	11000	10820	11875	11891	10868	11486	11968	11508	11192	10462	10887	11409	11903	10905	11229	11424	10899	11549	10838	11651	11933	10957
Første udbudspris	Parcel-/rækkehus	7430 Ikast	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6858	7486	6931	7726	7767	7573	8000	7548	8338	8334	7771	8771	9346	10723	9389	10619	11213	9994	11118	11029	11056	9874	8358	10157	10695	10975	10856	10318	10187	9972	10124	9371	10546	9894	10631	9642	8970	8838	9517	9761	9872	10064	9567	11537	9476	10149	9846	10499
Første udbudspris	Parcel-/rækkehus	7441 Bording	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5497	..	..	5918	5603	6757	5603	6073	6163	..	7543	..	..	..	9173	8678	..	9035	..	7389	8900	8929	..	8737	7283	7517	9336	9513	10163	9947	..	..	8532	6780	8794	..	..	7417	7557	7772	6621	..	7123	5797	9513	9018	7220	..
Første udbudspris	Parcel-/rækkehus	7442 Engesvang	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6330	6574	7805	6687	..	7745	7778	8069	8041	..	8777	..	6702	9602	9844	9346	..	..	..	..	9886	9879	9053	..	6946	7064	8572	9535	..	..	10144	8102	..	..	7483	6551	7122	..	..	..	7265	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7451 Sunds	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6489	8259	6185	7144	6574	7737	7378	7311	8332	9139	8676	9427	9797	11630	8656	11735	8417	8339	11023	11476	8662	9110	8098	8739	9369	10192	8505	8687	10747	..	9515	9984	10269	11281	11823	10395	9894	9019	..	8406	12350	9723	9644	9228	8785	9560	8139
Første udbudspris	Parcel-/rækkehus	7470 Karup J	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4948	6445	..	5196	..	5910	4802	6168	5582	5888	4834	5348	6576	5683	7351	7487	7437	9598	8161	7922	8420	7035	7242	6496	7607	8015	8576	7289	6875	8051	6718	7403	6769	6676	6690	6406	6288	7045	5209	6231	8013	9356	5266	5788	5460	6345	6514	5815
Første udbudspris	Parcel-/rækkehus	7480 Vildbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5707	7463	6319	6700	5732	5669	..	6547	6748	6715	7067	7653	7809	8594	7118	8405	9116	9096	8980	9781	8360	8649	8125	8718	10410	8370	8179	8224	6631	8087	8476	7434	8737	6864	8027	7285	8872	8035	9038	..	7504	8712	10677	8501	9561	7859	7544	8490
