priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	8783 Hornsyld	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5799	6703	..	7343	7898	8196	..	8908	9019	8767	8931	..	8419	9635	13632	..	10424	11176	11966	11675	..	11556	12097	9859	10208	..	..	10315	..	9428	..	9442	9426	..	9496	..	..	7923	..	..	7262	7657	..	8355	..	..	..
Første udbudspris	Parcel-/rækkehus	8800 Viborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8460	8611	8353	8385	8803	8787	9401	10147	10113	10782	10968	12240	11740	12304	13344	12892	13537	13160	12283	13020	12521	13442	12665	12638	13298	12276	12587	12261	12346	12030	11540	11721	12128	11043	12657	11499	11284	12285	11002	11521	11649	12106	11330	11442	12245	11890	12821	11804
Første udbudspris	Parcel-/rækkehus	8830 Tjele	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5460	5580	4523	4790	5815	6376	5137	5016	5331	6640	7366	5801	7640	7726	7558	7868	8575	7899	7762	7864	9116	8150	7140	8700	8189	9087	7782	7262	7651	8203	9145	6942	7043	7294	10007	6690	7087	6510	6859	7213	7511	5617	6738	7855	6650	7634	6677	7574
Første udbudspris	Parcel-/rækkehus	8831 Løgstrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7354	6495	..	6508	7692	8708	7972	8762	8409	7983	6989	..	10320	7066	9365	11467	10559	9639	..	11418	..	..	..	..	8412	10750	..	7197	..	..	..	..	6776	8375	8939	8303	..	..	9749	..	..	..	..	10476	8623	..	..	..
Første udbudspris	Parcel-/rækkehus	8832 Skals	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6176	..	4967	7012	5942	7007	5526	6763	7956	6471	7191	7806	8573	8479	..	9675	8100	9166	..	8612	8127	6866	..	9463	6057	..	..	7649	6593	..	7929	7700	7295	6668	..	..	6578	6207	..	7127	6993	..	..	9013	..	..	..
Første udbudspris	Parcel-/rækkehus	8840 Rødkærsbro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5314	..	6118	..	6644	6119	6119	6750	6763	6090	7052	8485	..	7668	9268	8171	7546	8335	..	..	..	..	..	8141	..	..	..	..	..	..	..	..	6781	..	5553	..	..	..	..	..	..	..	..	6923	..	..	..
Første udbudspris	Parcel-/rækkehus	8850 Bjerringbro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6360	6113	7216	6628	7244	7400	6915	6398	7334	7583	8103	7779	8294	8690	8307	8930	10205	9141	9286	8646	10462	9458	9895	9188	10347	10664	9944	8739	8273	9322	8387	9755	9823	8898	9252	9825	7992	8648	8175	7986	8564	8139	7181	8458	8293	8119	8376	8144
Første udbudspris	Parcel-/rækkehus	8860 Ulstrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5463	6180	6264	5123	6515	6157	6569	6654	6825	7199	6358	7403	8458	8382	8388	8640	8649	8486	9094	8714	7863	10315	6142	9714	10141	8462	9943	..	7619	8019	7893	..	7313	8436	..	6457	..	7862	9138	8398	6195	7498	7198	6239	7001	6280	8296	..
Første udbudspris	Parcel-/rækkehus	8870 Langå	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5739	6294	7017	6840	6968	7449	7642	8254	7995	8422	9587	10610	10267	11566	9736	9388	9643	10077	9755	11892	10001	11429	10334	11011	9750	9627	9537	10238	9090	11571	10369	9252	9302	10697	7952	8022	8367	9289	9256	8883	7867	8497	8831	8240	9270	8473	7713	9492
Første udbudspris	Parcel-/rækkehus	8881 Thorsø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4328	6019	..	6885	7422	7208	7313	8716	10795	..	..	7073	8467	10462	8822	9680	9969	8839	9754	..	9481	10208	9757	10366	..	..	7154	..	..	..	..	..	9863	10280	8515	11066	10359	9022	..	..	7587	7744	5682	8128	10388	..	..
Første udbudspris	Parcel-/rækkehus	8882 Fårvang	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5199	..	6610	..	7091	8730	..	7007	..	6899	..	..	10438	8012	..	..	9176	..	..	..	..	..	..	..	..	9155	..	..	..	..	..	..	8706	..	..	..	7759	..	..	8216	..	..	7706	7593	8945	..	..
