priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Århus	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11983	12710	12675	13641	14092	14835	16160	17166	18198	19835	20491	20017	20631	20682	20661	20970	20465	20531	20554	19848	19576	19962	19246	19190	19278	19942	19272	19889	20150	19244	19573	18990	19479	19722	19124	19926	19679	19772	19325	20118	19408	19473	19575	19884	20760	20760	20739	20656
Første udbudspris	Parcel-/rækkehus	Landsdel Vestjylland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6192	6509	6385	6430	6650	6819	6873	7165	7400	7602	7823	7920	8388	8605	8732	8800	9365	9278	9053	9118	9486	9607	9160	9327	9268	9385	9078	9003	9104	9034	8912	9044	9078	8757	9112	8471	8632	8849	8683	8862	8793	8838	8674	8602	8842	8771	8382	8497
Første udbudspris	Parcel-/rækkehus	Herning	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6796	6672	7044	7194	7137	7529	7780	8219	8236	8585	9576	9390	9802	10492	10290	10118	10665	10253	10219	10743	10238	10384	10742	10817	10005	10560	9721	9562	10588	10462	9702	10086	10324	10371	10424	9246	9849	10256	10483	10192	9880	10208	10045	10289	9671	10087	10261	9758
Første udbudspris	Parcel-/rækkehus	Holstebro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7385	7624	7437	7301	8003	8125	8325	8781	9199	8783	9397	9078	10331	10512	10349	10646	11444	10838	9996	10516	11050	11792	10411	10231	11254	11229	10728	10975	10604	9770	11158	11664	10324	10006	10955	9746	10359	10376	10398	11195	9820	10826	10386	10387	10873	10601	9568	10503
Første udbudspris	Parcel-/rækkehus	Ikast-Brande	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5953	6380	6179	6357	6467	6619	6858	7094	7184	7551	7505	7630	8199	8743	9383	8555	9944	9146	9708	9270	10708	8835	9117	9472	9127	9781	9329	9526	9622	9228	9453	8535	9251	8825	9232	9116	8191	8370	8831	8699	9036	9285	8247	8764	8757	9274	8258	8179
Første udbudspris	Parcel-/rækkehus	Lemvig	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4384	4948	4147	4740	5191	4957	4562	4995	5580	5271	5090	5089	5387	5490	6147	6532	6489	6388	6088	5863	5809	6675	6068	6754	6137	5996	6513	6337	6088	6753	6433	5400	5773	5834	5138	5759	5652	5531	5380	5233	6955	6458	5859	5707	6481	4459	6403	5561
Første udbudspris	Parcel-/rækkehus	Ringkøbing-Skjern	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5063	5730	6020	6167	5815	6265	5702	6188	6180	6531	6286	6655	6818	7049	6909	7046	7549	7532	7951	7427	7753	7570	7440	7998	7489	7533	7631	7830	7532	7372	7309	7890	7448	6833	7479	6597	7164	7116	7096	7503	6924	6912	6958	6591	7415	7052	6266	6837
Første udbudspris	Parcel-/rækkehus	Skive	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5503	5541	5310	5412	5544	5486	5754	5497	5766	5884	5916	5799	5930	5996	6189	5994	6160	7614	7226	7153	7065	8055	7433	7605	7699	7011	6836	7458	7419	7613	6750	7500	7871	7390	7593	7640	7671	7921	7305	7002	7648	6309	7363	6938	7391	6778	6423	6578
Første udbudspris	Parcel-/rækkehus	Struer	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5104	6765	6706	5226	5527	5760	6209	6836	7221	7315	7128	8648	8277	8363	8377	8579	9185	9029	8291	7609	8763	8652	9318	8396	8256	8813	8034	8087	8131	8252	9555	7942	8160	8997	8066	7418	7570	7619	7947	8134	7131	7656	9503	7329	7044	8108	6988	9002
Første udbudspris	Parcel-/rækkehus	Viborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7033	7213	6693	6847	7395	7447	7493	7627	7995	8502	8597	8764	9390	9231	9618	10109	10599	10544	10007	10377	11096	11251	10025	10272	10696	10752	10618	9717	9781	10039	9410	9693	10109	9400	10136	9506	9349	9843	8970	9491	9961	9900	9085	9385	9771	9888	9517	9165
Første udbudspris	Parcel-/rækkehus	Region Nordjylland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6044	6319	6337	6304	6448	6851	6879	6945	7408	7886	7956	8313	8329	8828	8793	8815	8933	8899	9031	9457	9048	9609	9282	9338	9277	9517	9425	9266	9143	9290	8930	8985	9276	9146	8947	8851	8972	9194	9039	8861	9042	9332	9114	9022	9292	9357	9255	9180
