priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	5350 Rynkeby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8687	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5370 Mesinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6710	..	..	..	..	6145	..	..	..	..	..	9943	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5380 Dalby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7011	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5390 Martofte	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5400 Bogense	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5238	5553	5575	6063	7317	5605	7590	7517	7197	9601	6848	6994	..	8627	9380	8859	10765	9997	10105	..	9321	..	8297	11058	11389	7760	9381	..	9742	10989	7895	10407	9190	7398	8486	7959	7359	9344	6524	5220	8665	8625	8129	8205	7239	8535	9570	8383
Første udbudspris	Parcel-/rækkehus	5450 Otterup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5783	5814	5413	6346	6458	7273	6951	7102	7253	7408	8037	7530	7938	9450	8114	9615	9281	9952	9456	7512	8179	10258	8612	8143	9137	10226	8237	10415	8040	9498	8661	9219	8244	8286	9007	7891	6999	7831	7931	7577	8170	5756	9024	7298	7479	7524	9132	7397
Første udbudspris	Parcel-/rækkehus	5462 Morud	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7922	8210	..	7289	..	..	..	12510	11083	..	11382	..	..	..	13024	11280	11350	..	..	..	..	..	..	..	..	..	..	12354	..	..	..	11109	..	..	..	..	..	..	10285	..	10377	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5463 Harndrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4555	..	5016	5567	..	6806	..	4372	6132	6183	..	..	..	7131	6156	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6830	..	..	..	..	..	..	..	..	..	..	5575	..	..	..
Første udbudspris	Parcel-/rækkehus	5464 Brenderup Fyn	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5229	..	..	5863	..	7282	6840	..	..	..	..	..	9311	9340	..	..	..	8927	9138	..	..	..	..	..	8782	..	..	9763	..	..	8208	7077	..	..	..	..	..	7520	..	..	7142	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5466 Asperup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6590	..	6708	..	..	..	..	..	9184	..	..	..	..	10656	..	..	..	..	10179	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10538	..	..	..
Første udbudspris	Parcel-/rækkehus	5471 Søndersø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5897	5747	5635	5895	5343	5640	5862	7158	7105	7654	7550	8343	7762	9089	9474	8691	9110	9061	9022	7720	10050	9378	6951	9780	7654	8855	8721	7118	7070	7771	7044	9693	8820	6826	6276	7100	..	7061	6350	7708	6149	6250	6612	7741	7576	6349	7281	..
Første udbudspris	Parcel-/rækkehus	5474 Veflinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5462	..	..	..	..	6158	..	..	..	7479	..	..	7145	..	6847	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5485 Skamby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5592	..	..	5949	..	..	6187	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5491 Blommenslyst	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6542	..	..	8398	7650	7209	..	..	..	8729	..	..	..	..	11467	..	..	..	..	..	..	..	..	..	..	8906	..	..	..	..	10020	10279	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5492 Vissenbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6768	6853	7106	6530	5847	7211	7376	6671	7582	7908	8913	7766	8099	8066	8816	10565	9713	10004	9167	9042	10801	9098	9631	8824	8603	10683	11088	7152	8000	8710	9652	7865	8960	8625	9359	6446	9968	8511	7831	8106	8361	..	6335	..	8682	..	..	..
Første udbudspris	Parcel-/rækkehus	5500 Middelfart	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8785	8174	8389	9665	9486	10163	9664	10112	11280	10311	13111	12846	12045	14668	14637	15371	15090	16098	15615	14435	13777	14057	13721	15362	14654	15320	14762	14262	14504	13573	15045	14342	13399	14882	12426	12911	12980	12544	13354	14252	12398	13342	12231	16642	12537	16148	14881	13853
Første udbudspris	Parcel-/rækkehus	5540 Ullerslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6457	6052	6697	5816	6523	6542	7212	6409	6779	6940	7779	8397	9053	7820	8947	8455	9506	9108	9602	8708	..	..	9854	..	9311	8692	8649	9874	8753	..	7775	9216	..	5793	..	7304	5859	7520	7727	..	..	6949	6894	6658	8534	7510	7271	6972
Første udbudspris	Parcel-/rækkehus	5550 Langeskov	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6960	6635	8104	7433	6472	7233	8002	8183	8860	9143	9358	10098	11436	11509	11033	10343	10935	10992	10540	..	10257	11285	10066	9684	10589	8525	10341	11049	..	10052	11110	9132	9695	9590	8327	10671	9112	9423	8840	8745	8189	9792	..	9219	9257	9294	8850	9155
Første udbudspris	Parcel-/rækkehus	5560 Aarup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5819	6097	5815	5877	6310	6347	7950	6565	7781	7002	6739	8700	8313	9691	8452	8900	9363	8267	9138	7624	..	..	7938	9435	12095	10668	10107	9184	8995	8250	9074	7423	..	7281	8262	7232	..	8396	..	6474	8180	10097	7053	..	8564	..	..	..
Første udbudspris	Parcel-/rækkehus	5580 Nørre Aaby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6858	..	..	6377	6138	8278	8081	8111	8442	7321	7730	7395	..	..	9454	9239	9695	11092	12292	12957	..	11711	..	..	9561	..	8563	..	11639	9710	..	8991	8281	11100	..	8401	..	8370	..	8744	..	9479	11018	..	9748	..	..	..
Første udbudspris	Parcel-/rækkehus	5591 Gelsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5476	4341	5638	6154	5580	6634	6770	6637	..	..	6530	7534	8317	9958	..	6709	9494	..	..	8211	..	..	..	..	..	6565	7878	..	7321	..	..	..	..	..	5914	..	..	..	..	4820	7236	..	7342	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5592 Ejby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4845	6553	5923	6027	6160	5876	6731	6326	7099	7085	8813	8355	6583	8545	10484	9765	9066	10079	..	..	..	..	..	..	..	8801	7986	8120	..	7344	..	8707	..	5473	6675	7012	..	6705	6380	..	..	..	7143	6360	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5600 Faaborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5666	6047	6870	6277	5942	7108	7472	7118	8346	8388	9223	5052	7187	7345	8008	9753	9034	10956	10980	10914	9636	9220	11190	9229	8975	8906	9848	10463	8466	9013	7519	8346	8818	9341	11228	8212	10445	8912	8585	8802	9484	8483	7193	7792	8246	7116	8782	8551
Første udbudspris	Ejerlejlighed	5350 Rynkeby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5370 Mesinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5380 Dalby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5390 Martofte	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5400 Bogense	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17315	19155	..	..	..	..	..	..	..	..	12229	..	14709	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5450 Otterup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5462 Morud	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5463 Harndrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5464 Brenderup Fyn	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5466 Asperup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	5471 Søndersø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
