priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	9430 Vadum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5466	7694	..	6451	..	6417	6821	7393	7188	8670	9112	..	9658	10627	9312	9870	9334	9453	9688	..	11224	10709	8042	10002	10931	8045	10445	9073	8504	7857	8887	10823	9387	8336	..	9064	8369	..	10689	10485	10070	9173	8866	10640	8762	10961	8587	8587
Første udbudspris	Parcel-/rækkehus	9440 Aabybro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6817	7343	6580	6933	6533	6924	7882	7087	8665	8258	8139	10317	8503	9075	9482	8307	10104	9358	10576	9807	11378	10501	10759	9619	9857	9713	9477	10596	9225	10042	9122	9208	9463	9357	8739	9609	9434	9629	8850	9921	10889	9679	9620	7983	9092	10401	9638	10710
Første udbudspris	Parcel-/rækkehus	9460 Brovst	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4330	4865	4665	4594	5057	5154	5330	5094	5264	5635	5057	4654	5013	6468	5120	5042	6715	6165	6478	7557	5347	5903	7492	6649	5815	6705	7331	6056	6929	5400	6403	7712	6674	5826	6380	6087	5110	6312	4218	7882	5540	7366	4643	5759	4701	4847	5589	4964
Første udbudspris	Parcel-/rækkehus	9480 Løkken	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5693	4826	4254	10287	8134	7507	7075	6387	7214	8470	6028	5273	6487	10102	9943	10699	7779	10401	10548	12551	9441	14784	11705	..	15899	17302	7557	8937	9752	8522	7598	7416	7605	12675	5800	..	8648	9271	8740	11118	6726	12953	6654	6979	8069	6851	5802	5455
Første udbudspris	Parcel-/rækkehus	9490 Pandrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4757	5785	6182	6127	5809	6811	5890	6336	6525	6566	6851	7662	7230	7445	7906	7067	8618	7465	6877	8548	6706	8132	7439	7112	7210	7448	6549	7882	6142	7980	8025	6399	6419	5608	7501	6782	7045	7151	6738	8482	6870	6705	7380	6221	6332	6440	6408	6243
Første udbudspris	Parcel-/rækkehus	9492 Blokhus	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9045	..	..	..	10363	11194	13995	16422	14002	14538	13399	15020	11351	14439	28227	16030	19864	15390	16762	..	..	20321	..	17223	..	17783	16425	..	..	..	..	16476	15444	17135	..	..	..	12721	..	..	..	17339	..	17730	14810	21889	17431	..
Første udbudspris	Parcel-/rækkehus	9493 Saltum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6245	5310	..	..	5160	5435	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3847	..	..	8198	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9500 Hobro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6160	5998	5963	5422	5747	6637	6321	6894	7657	7680	7043	7587	8153	7778	8540	8056	8705	8826	7688	9185	8506	9668	8748	8234	10204	8977	8235	9055	8150	8934	7846	8869	8708	9559	7605	8891	8334	8824	7604	8228	7919	8428	7721	8847	8320	8828	7688	8436
Første udbudspris	Parcel-/rækkehus	9510 Arden	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4972	..	5510	4626	..	5512	5829	6589	6361	7165	6680	..	9379	8213	7103	6753	6715	6525	..	6593	6084	6584	8668	5855	6955	7125	7501	6822	..	8795	5396	7439	6565	8366	..	7139	7217	8076	6955	..	5125	7491	8313	4427	6289	8176	7541	6377
Første udbudspris	Parcel-/rækkehus	9520 Skørping	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5318	7401	4709	5674	5209	4823	8263	6521	8123	8763	9481	8259	11197	8624	11520	10467	8673	9336	10344	11283	7761	9575	13980	8493	9251	7376	11443	10314	8928	7852	10802	13337	10091	7843	11936	10659	..	10623	8278	10940	10267	9446	10047	10141	9891	11078	9545	7774
Første udbudspris	Parcel-/rækkehus	9530 Støvring	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6566	5641	8117	7015	7592	9343	7611	8971	8803	9522	10215	10175	10624	12310	10626	11896	11319	10791	11280	11493	12439	13032	12549	13679	12165	10394	11942	12191	11669	12144	10596	10805	10741	12522	12105	10350	10252	11413	10404	11588	12236	12745	11136	11405	12985	12297	11245	12660
Første udbudspris	Parcel-/rækkehus	9541 Suldrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5387	..	..	4173	4858	6238	6159	5492	4294	4550	6349	5990	7219	..	..	7999	5399	6960	..	..	..	7787	..	..	..	7793	7353	7248	6035	..	..	..	..	6366	..	..	5598	6618	..	5831	..	6652	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9550 Mariager	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5828	7017	5648	6910	6016	6083	8032	6468	7581	7121	8834	7017	8885	9169	8294	7971	8457	9896	10815	..	7102	10265	..	9852	9183	8601	7948	9209	7986	9927	9015	7768	9356	9347	8391	7408	..	8607	7637	8388	..	10468	..	7493	8183	7774	9059	10098
Første udbudspris	Parcel-/rækkehus	9560 Hadsund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4993	5513	5678	6078	6046	6393	6383	7304	7192	6341	6880	6990	7677	8233	7571	8136	8003	9438	7955	8107	7242	8515	8625	8805	8654	8459	9647	9386	7793	8268	7488	7488	7501	8586	6171	7688	7397	7957	8395	5808	6155	6751	7282	6484	7438	6397	6895	6278
Første udbudspris	Parcel-/rækkehus	9574 Bælum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4098	..	..	5673	..	5904	..	..	..	..	..	..	5639	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9575 Terndrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4834	..	..	..	..	..	..	..	..	7718	..	..	..	..	..	9171	6130	5995	..	..	..	7772	..	..	..	..	..	..	..	..	..	..	..	6516	..	..	6987	..	..	..
Første udbudspris	Parcel-/rækkehus	9600 Aars	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6062	4993	6634	5149	4895	6975	6229	5609	6419	6689	6689	6686	6856	7242	7946	8087	8719	7468	8150	7896	7132	9126	8469	8376	8604	9444	9158	9866	7951	8247	7012	8038	7856	8081	7549	8921	8469	8705	7813	8576	8373	7479	8886	10460	8070	8199	8199	9983
Første udbudspris	Parcel-/rækkehus	9610 Nørager	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5060	4362	4070	4641	4700	4663	5030	4972	5577	5916	5063	5305	6723	6350	6351	6530	6297	5374	8062	..	6347	5871	..	..	5732	7674	5099	6373	5031	6446	..	5569	..	5463	..	..	..	7404	..	5789	7164	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9620 Aalestrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3923	4245	..	..	5830	5042	..	..	4466	5157	5335	5280	6170	6399	5898	5687	5921	7103	..	5970	5466	6272	5883	5881	5731	..	6328	..	6203	4740	5613	5973	..	..	5631	6187	..	..	..	5705	5197	5273	4814	5326	4371
Første udbudspris	Parcel-/rækkehus	9631 Gedsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4591	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9632 Møldrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4752	..	..	..	..	..	..	..	..	..	6025	6528	5868	..	7005	7365	..	..	..	7558	5746	6426	..	..	..	7181	8129	..	5858	..	..	..	..	..	..	..	..	..	5982	..	..	5139	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9640 Farsø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5384	4352	4230	4766	5693	5396	5540	4941	5505	4489	5309	5731	6429	5736	5784	5724	5768	6641	6144	5938	6849	5735	6470	5933	7026	5509	7316	7237	5744	6675	6619	7926	6232	6969	7231	7089	5763	7191	6841	6413	6645	5231	7016	..	6163	..	..	..
Første udbudspris	Parcel-/rækkehus	9670 Løgstør	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4936	5617	4517	4792	5186	4363	4522	5123	4944	5202	5701	6376	5136	6125	5476	5565	5447	5239	5549	7048	7479	8369	6099	6743	5737	7108	5943	6183	6633	6032	6810	6368	6734	7132	6776	5540	8029	6234	7178	7218	5667	7497	5942	5775	6319	7324	5971	6022
Første udbudspris	Ejerlejlighed	9430 Vadum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8634	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	9440 Aabybro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	9460 Brovst	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
