priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	5884 Gudme	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10615	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5892 Gudbjerg Sydfyn	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4467	..	..	..	..	..	7475	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5900 Rudkøbing	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5657	4673	4987	6058	6097	5414	6368	5842	6355	7566	7506	8872	7485	8259	9296	8091	9421	9507	7546	8186	10066	10471	9227	9213	8286	8756	8479	7170	7665	7166	8644	7469	8197	9105	8773	7898	6491	6785	6710	6927	5066	10404	5934	7416	6762	7269	6282	8040
Første udbudspris	Parcel-/rækkehus	5932 Humble	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4064	7239	4498	4534	..	5312	6126	6675	5779	5356	5723	..	..	6437	..	7386	5076	8782	6805	..	..	6453	6525	..	7840	..	8238	6239	..	..	..	..	..	..	..	..	..	6435	..	4283	..	..	4697	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5935 Bagenkop	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4901	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6812	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5953 Tranekær	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5163	4425	..	3935	4165	5076	4657	4825	6271	6612	5798	6089	6130	5264	8288	9803	6696	6711	7539	7032	..	5835	7515	8799	..	4346	11611	6703	..	5920	..	..	5006	4622	5568	5966	5906	6622	6629	7555	6123	7481	5265	6879	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5960 Marstal	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4285	5293	..	6687	5678	5652	5662	6445	5205	7503	7803	8989	7812	8983	8043	8309	8054	9117	7797	8032	8129	7998	8679	11609	7632	8374	7950	8554	5654	7879	7389	7749	..	6543	6774	6926	7461	6732	5851	..	..	6855	5846	7108	4412	5577	6530	5012
Første udbudspris	Parcel-/rækkehus	5970 Ærøskøbing	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6273	3985	..	4641	..	5814	4499	..	5765	7731	..	..	6808	..	7241	..	8181	7151	8304	..	..	9546	9328	..	..	..	7171	..	..	..	..	..	..	..	6237	8037	..	..	4899	..	..	9375	7391	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5985 Søby Ærø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5636	..	5441	..	7031	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6000 Kolding	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9505	9859	9592	10068	10702	11169	11413	12150	12433	12686	13722	13674	14373	14860	14719	14850	15258	15729	15426	14994	14906	15449	14124	14771	14331	14138	14020	13696	13588	13778	13614	12554	14014	12896	13754	12994	13016	13219	13074	12971	13499	12611	13015	12943	13492	13586	13182	13681
Første udbudspris	Parcel-/rækkehus	6040 Egtved	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7281	6792	6473	7208	7292	7053	7763	8074	8646	9072	10377	10817	10205	9597	12478	10790	8567	11159	11609	11409	..	11322	8151	11436	10199	9835	9839	11092	10452	9671	9661	9761	10848	9986	9534	10394	9117	9806	9788	9386	9010	9555	8177	9267	10436	9017	10133	10593
Første udbudspris	Parcel-/rækkehus	6051 Almind	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8224	..	9822	..	9393	8836	..	12263	11999	10714	..	10243	14331	..	11896	12328	11761	10996	..	..	..	13161	13696	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12039	..	..	..
Første udbudspris	Parcel-/rækkehus	6052 Viuf	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6363	..	..	..	10545	..	9171	..	..	..	..	..	..	..	..	..	13255	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6064 Jordrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5963	4942	..	8412	..	..	..	..	5891	7189	6568	..	..	..	..	9343	9499	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6070 Christiansfeld	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6110	6148	5662	6562	6294	6276	7090	6218	7028	7727	..	7065	8036	9470	9013	9429	10505	8877	9339	10162	9797	9319	8857	7700	9631	9149	8504	7953	7331	8104	7788	..	7240	9281	8345	7981	8277	..	7264	8142	7601	7638	8012	7926	7889	6193	8946	..
Første udbudspris	Parcel-/rækkehus	6091 Bjert	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9413	8873	8131	8780	8894	9213	10774	..	7726	10194	..	12294	11971	14787	13900	11393	..	12062	15478	..	13477	11940	..	11446	11407	..	..	12083	11391	..	..	..	..	..	..	..	..	..	11443	9721	12517	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6092 Sønder Stenderup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9485	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6093 Sjølund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8997	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6094 Hejls	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10928	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12730	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6100 Haderslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7149	7149	7640	6317	8019	7874	8455	8149	7984	8428	9384	9076	9821	10794	9140	10671	12228	10732	10443	10805	10271	10069	10644	10769	10761	10297	10402	10822	10688	10206	10376	10422	11533	11274	10452	9622	9585	9661	8923	10350	9518	9557	8646	8971	10294	9779	10047	9728
