priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Esbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7242	7257	7385	7789	8010	8196	7806	8527	9272	9139	9386	10099	10448	10515	11196	11412	11268	11700	11213	11292	11316	11152	11127	10920	10955	12139	11482	11008	11297	11872	11370	10736	11103	11239	10669	10882	10641	10925	11580	10727	11113	11048	11179	11327	10804	11236	10944	11387
Første udbudspris	Parcel-/rækkehus	Fanø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6212	..	8912	7332	8726	7538	8352	10822	9440	..	8457	..	10596	..	8809	..	..	12066	..	..	..	..	13046	11353	13392	11930	..	..	10094	9622	11699	..	..	..	..	..	11376	..	..	..	..	11023	..	10564	10786	..	..	..
Første udbudspris	Parcel-/rækkehus	Fredericia	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8226	8605	8784	8912	8930	8893	8713	9453	10997	10705	11471	12051	11152	11319	12291	13775	13916	13502	13464	12859	12548	12659	12938	12622	12369	12040	11877	12935	12326	12288	11949	11729	12509	11134	11301	12200	11222	11161	11419	10609	10889	11226	10108	11222	11504	11366	11216	10630
Første udbudspris	Parcel-/rækkehus	Haderslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6255	6249	6752	5855	6709	6721	7255	6917	6678	7214	8035	7290	8315	9004	7824	8931	9279	9248	9096	8713	8751	8842	9450	9437	9287	9007	8264	8515	9037	8823	8303	8845	9053	8879	8745	8015	7819	8003	7767	8463	8006	8336	7442	7358	8471	8335	8784	7649
Første udbudspris	Parcel-/rækkehus	Kolding	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8765	9019	8455	9218	9290	9829	9873	10622	10801	10869	11905	11531	12541	13312	13255	13380	13549	13828	13513	13783	13662	13542	12549	13673	13508	13174	12487	12485	11918	12383	12126	11568	12685	11442	12417	11656	11919	11811	11677	11982	12178	11645	11732	11585	12213	12885	12091	12323
Første udbudspris	Parcel-/rækkehus	Sønderborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6430	6710	7101	7163	7004	7403	6981	7265	7621	8004	8338	8112	8072	8554	9373	8755	8912	8982	8800	9836	8633	10238	8662	9574	8388	9811	8644	8886	9173	9106	8649	9736	8810	7975	8742	8485	7960	8447	8392	8316	8076	8201	8143	8435	8643	8522	8245	8340
Første udbudspris	Parcel-/rækkehus	Tønder	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4875	4605	4325	4911	4730	5358	4754	5188	5404	5748	5320	5050	5647	5869	6132	6670	6115	5910	6261	6324	6660	6335	6383	6625	6661	6445	6460	6962	6594	7033	5683	5933	5498	6321	6067	5750	5611	5592	5716	5554	6404	6517	6537	5529	5785	5345	6433	5241
Første udbudspris	Parcel-/rækkehus	Varde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5798	5669	5688	5946	5974	5951	6351	6021	5996	6222	7038	6787	7317	7414	7562	7496	7646	8669	8398	8255	8711	7933	8955	8211	8935	8296	8304	7789	7750	7863	8097	9110	8648	8258	7886	7895	8727	7632	8094	8062	8277	8425	7996	7534	8032	8080	8032	8024
Første udbudspris	Parcel-/rækkehus	Vejen	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5837	5840	5702	5704	5933	6103	6322	6433	6428	6933	6910	6985	7022	7269	7678	7205	8236	8624	9373	7818	8722	8460	7832	8406	8055	7805	8075	8223	7203	8029	7688	7896	8047	8303	7492	7063	6797	7649	7944	7351	8469	7228	7074	6885	7655	7288	7265	6545
Første udbudspris	Parcel-/rækkehus	Vejle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7771	7904	8218	8534	8431	9011	9285	9389	10039	10283	11112	11827	11424	12202	12318	13337	11969	12992	12784	12879	12394	13520	12141	12622	11800	12316	12154	12526	12430	12338	11999	11341	11630	11728	11657	11223	11643	11771	11390	10828	10867	11092	11393	10859	11875	12552	11388	11697
