priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Landsdel Bornholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5398	5338	5506	5853	5400	6010	5724	6004	6383	7007	7410	7200	7440	8137	8277	8142	8018	8471	8485	8180	8101	8213	7820	8163	8159	8251	7521	8428	7474	7278	7320	7259	6619	6285	6150	6797	6684	6505	5884	6320	6284	6276	6452	6021	5858	6661	6116	6291
Første udbudspris	Parcel-/rækkehus	Bornholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5398	5338	5506	5853	5400	6010	5724	6004	6383	7007	7410	7200	7440	8137	8277	8142	8018	8471	8485	8180	8101	8213	7820	8163	8159	8251	7521	8428	7474	7278	7320	7259	6619	6285	6150	6797	6684	6505	5884	6320	6284	6276	6452	6021	5858	6661	6116	6291
Første udbudspris	Parcel-/rækkehus	Region Sjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9296	9414	9750	9729	10167	10646	11212	11765	12387	13404	14194	14417	14633	14842	15030	14768	14826	15111	14772	14444	13878	13316	13212	13129	13048	12800	12452	12378	12288	12125	11828	11965	11350	11494	11275	11112	11168	10921	10763	10914	10887	10951	10602	10535	11210	11255	11199	11042
Første udbudspris	Parcel-/rækkehus	Landsdel Østsjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13497	13544	14170	14254	14561	15528	16690	17813	19325	21166	22444	22897	22737	22897	22916	21761	22133	22170	21402	21099	19273	18602	18331	18358	18410	18249	17862	17716	18267	17201	17191	17315	16892	16623	16572	16747	16305	16792	16674	17211	16995	16934	16729	16733	17689	17848	17795	17990
Første udbudspris	Parcel-/rækkehus	Greve	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14324	14057	15232	15278	15633	16662	18545	19344	22012	22519	23481	24210	23408	23702	24147	22683	23098	22289	22108	21013	20327	19431	18794	19193	18990	18995	19066	18057	19198	18214	18577	18175	17539	18162	17846	17365	17589	17516	18009	19940	17643	18075	18317	18350	17564	18600	19356	19197
Første udbudspris	Parcel-/rækkehus	Køge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12394	12544	12651	12737	13198	13955	14562	15954	17006	17962	19541	19972	20446	20831	19455	19128	20203	19984	19000	18947	18234	17824	16724	16777	16527	15922	16282	15929	15278	14545	14573	13851	14311	14682	15001	15473	14693	14224	13819	14603	14814	14718	14739	14535	14795	15298	15594	15283
Første udbudspris	Parcel-/rækkehus	Lejre	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11315	11957	11668	12212	12236	13531	13840	13900	14291	16906	17908	18341	19551	17237	19028	19951	18099	19401	18740	17973	17092	15780	15989	15253	15607	15297	13612	14595	14262	12371	12744	14652	14037	11764	13540	11813	11030	12157	12609	11858	12480	12729	13155	13382	14187	13378	13988	13662
Første udbudspris	Parcel-/rækkehus	Roskilde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14112	13878	14875	15496	15365	16066	17462	19162	20753	23380	24322	24951	24007	25355	25584	23453	23604	23879	23260	23225	19620	19250	19377	19661	19715	19730	19311	19362	20142	19832	19287	19507	18712	18651	18234	18449	18121	19363	19097	18764	19619	19030	18405	18118	20434	20700	19412	20311
Første udbudspris	Parcel-/rækkehus	Solrød	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15037	15609	16246	14227	15802	17476	18709	19541	20951	24156	26782	26215	26648	25665	24924	22849	25133	25144	23028	23642	21146	20297	20794	20195	21066	21205	19992	20046	22461	19277	19523	20000	19451	17874	16289	19544	18520	19173	18110	19480	18368	18545	17348	18356	20557	19015	19467	19961
Første udbudspris	Parcel-/rækkehus	Landsdel Vest- og Sydsjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7823	7966	8200	8141	8625	8933	9290	9643	9968	10696	11316	11459	11812	12038	12284	12333	12300	12671	12480	12144	12015	11491	11444	11324	11197	10919	10585	10535	10221	10370	9975	10116	9435	9721	9444	9164	9390	8888	8716	8734	8771	8880	8480	8382	8955	8955	8901	8633
