priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	3770 Allinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4775	5748	5257	6320	5054	6314	5998	5293	7561	6443	8066	6662	7679	7822	10653	7259	7466	7815	9017	..	..	6921	8680	7163	6687	8816	6845	8246	..	7988	7055	7031	..	7341	4921	4938	..	5301	6617	7312	4462	4948	5448	6014	4537	6597	6052	4936
Første udbudspris	Parcel-/rækkehus	3782 Klemensker	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4177	3289	4147	2988	..	4143	..	5457	5240	..	4913	5347	5870	..	4836	..	..	6175	..	..	..	..	4903	..	..	..	..	..	..	4592	..	..	..	..	..	..	3459	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	3790 Hasle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5481	4914	4058	5768	7343	5044	4919	5936	5702	6439	5840	7168	6759	7443	6128	6913	7106	..	9193	..	..	6432	6262	..	..	7790	..	6018	..	..	6645	6023	..	4423	..	..	..	6700	4017	4332	..	5015	7507	6135	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4000 Roskilde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14405	13971	15237	15375	15387	16865	18190	20323	20302	24032	25398	25514	24534	26432	27040	24407	24516	24260	24360	24016	20347	19084	19934	20395	19965	20208	20181	20454	20019	19589	19279	20923	19845	19525	18633	19556	19228	19782	20056	20002	20429	20123	19587	19770	20850	21621	20892	22038
Første udbudspris	Parcel-/rækkehus	4030 Tune	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13383	14065	14022	14006	14268	15327	18373	18669	20464	20837	21887	21719	21315	22472	22160	21541	19614	20563	18324	18838	19752	20207	16104	18601	18099	18009	19092	17225	19127	18487	17070	18008	17404	16106	16347	15849	14737	16718	15562	14904	15281	17098	16501	17234	15587	16086	17255	17442
Første udbudspris	Parcel-/rækkehus	4040 Jyllinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13873	14205	14279	16010	15847	15052	17221	20320	20186	23635	25859	..	24886	27250	24400	23895	22250	24360	22532	22743	19055	19467	18204	20722	18314	18298	19641	19531	20648	18347	17064	16705	16494	16967	16313	16531	16463	19973	17476	16841	18243	17797	16512	17236	19701	17790	17948	17455
Første udbudspris	Parcel-/rækkehus	4050 Skibby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10127	8431	10914	10101	8850	12101	10118	11687	13534	13713	14342	15487	15322	16131	16549	17619	17891	14791	17357	14495	16200	15660	..	12710	14289	14603	12506	14229	13914	11291	10294	..	12002	10686	8764	11814	9553	10337	9213	10338	8194	9682	9500	10186	11124	10301	9433	10835
Første udbudspris	Parcel-/rækkehus	4060 Kirke Såby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11075	10647	10031	9923	11912	12103	12330	12544	17013	15939	..	17473	15176	16820	16791	..	16372	15708	15323	..	..	..	13548	10970	..	12293	11712	..	12601	9883	12268	..	..	10732	..	9029	9052	9765	8262	9495	10933	10424	..	11392	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4070 Kirke Hyllinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10697	10915	11878	10907	11294	13006	12972	13778	15514	16174	17803	18693	18668	16879	20389	18969	16443	18497	17093	..	17754	15521	16479	12316	13687	18133	13991	15280	12395	10078	12478	12173	14269	12139	13870	10665	11078	12302	11814	14180	12182	11422	10154	9279	10062	12417	11934	12276
Første udbudspris	Parcel-/rækkehus	4100 Ringsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9521	9910	10195	10731	10628	10792	11538	12052	13196	15580	16140	15192	16711	16067	15313	16088	15742	17019	15783	15457	16670	15089	14710	13352	13925	14248	13468	13976	12631	12975	12807	12408	13096	12016	11077	11827	12211	11269	10995	11034	12500	11571	12041	11230	12717	12704	11992	11267
Første udbudspris	Parcel-/rækkehus	4130 Viby Sjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10860	11881	12511	13450	12119	13129	15626	15013	17957	17405	18185	19705	20704	19335	18479	19814	19340	20050	17818	..	17765	..	16463	15115	16464	15716	14372	16324	..	14208	16020	13119	15192	13299	14289	13275	14560	12425	15412	13613	..	12518	13301	12516	13439	13614	14232	14245
Første udbudspris	Parcel-/rækkehus	4140 Borup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10443	11798	12221	9384	12473	12318	14056	14700	16690	17107	19969	18732	19119	20697	21244	19424	17573	19408	17871	18545	14344	15188	16969	14829	15926	15555	15765	14263	14562	14335	11436	13359	11105	11475	13187	11677	12137	13959	..	12486	15141	13867	10558	13811	12935	14849	15328	11150
Første udbudspris	Parcel-/rækkehus	4160 Herlufmagle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7563	7544	8271	8614	7274	9291	9489	10418	9753	10069	11789	12162	10150	12337	12724	12819	13660	11907	13998	13886	..	11025	9941	8470	13007	9438	..	..	..	10845	..	8627	..	..	10141	..	8775	..	6862	6928	..	6570	8632	..	9774	..	..	..
Første udbudspris	Parcel-/rækkehus	4171 Glumsø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7826	8141	..	7909	10232	10764	7480	10815	9618	11625	11331	11235	15104	14105	14628	9994	9909	12561	10738	..	11813	13970	..	10264	10564	12979	..	10600	..	..	..	..	..	..	10593	8908	..	8441	..	8503	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4173 Fjenneslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8262	6909	..	7413	8478	9279	8216	..	10566	10864	..	13509	11770	12676	..	..	11310	..	..	..	..	..	..	12003	..	..	..	..	..	..	10714	..	..	10140	8978	..	..	..	..	..	9201	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4174 Jystrup Midtsj	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9085	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8972	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4180 Sorø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10472	10820	10653	10991	11832	11992	13543	12677	13551	15596	16259	16190	15566	16467	17905	17728	17968	18135	16410	19390	16502	14646	14911	16122	14965	15466	13325	14656	13734	15609	13891	12323	13643	12599	11680	12972	13247	12872	11829	12620	12091	15183	11278	10903	13197	11851	12511	12366
Første udbudspris	Parcel-/rækkehus	4190 Munke Bjergby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8225	..	..	10594	..	..	..	..	11233	..	..	10111	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4200 Slagelse	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9032	9310	9082	8875	11156	11819	10387	12349	12711	12876	13206	14510	13531	13989	14347	13992	15048	14588	14014	14227	13697	13361	13140	13552	13632	11863	12744	11518	11826	12676	11348	11978	11549	12020	12238	10545	11299	10755	10713	11718	11837	11447	10923	10968	11612	11507	12158	11775
Første udbudspris	Parcel-/rækkehus	4220 Korsør	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7146	7943	9069	7186	9140	8934	9278	10296	10148	10757	10953	11279	12466	11682	12784	12470	12520	13264	13717	13202	12263	11820	10419	11210	10119	10390	11008	10359	10097	11533	8865	8819	9217	8224	9061	7971	8745	9243	9991	9733	9369	9188	8089	8363	8596	8304	8570	8742
Første udbudspris	Parcel-/rækkehus	4230 Skælskør	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7639	8894	7485	7844	8068	8747	10243	9633	8767	7048	8250	10098	9268	10467	10907	10724	12146	12084	14354	13596	12034	11620	9542	10873	11186	10135	11976	11001	10428	10244	10426	9072	9419	10317	9560	10077	8069	9698	8916	7599	7927	7363	9072	8375	8974	8606	10625	9584
Første udbudspris	Parcel-/rækkehus	4241 Vemmelev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6138	6206	8624	10245	8974	10167	9278	10201	9510	11241	11482	12367	11871	11358	13292	13086	12438	14213	13698	11992	11939	11223	..	10740	12056	10777	..	..	9746	..	10387	..	7716	10122	..	9703	8566	..	9344	10670	7509	8818	8534	9833	9587	10354	8771
Første udbudspris	Parcel-/rækkehus	4242 Boeslunde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6738	..	7836	..	7335	..	..	8184	..	8775	..	..	10878	..	..	..	10450	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	3770 Allinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11780	..	..	..	16369	..	..	..	..	..	..	..	13881	..	..	..	..	..	..	..	12349	15002	..	15382	..	..	..	..	..	..	..	..	..	..	12434	..	15336	..	14231	..	..	..	..
Første udbudspris	Ejerlejlighed	3782 Klemensker	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	3790 Hasle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4000 Roskilde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16092	17207	17274	18389	18284	20248	20113	20918	23815	24830	26222	26460	26222	25294	26115	25165	24480	23799	23033	21081	21071	20098	18743	18813	19350	19824	19813	19111	19758	20551	18817	17567	17360	18719	18326	18117	18444	18821	18732	18112	17939	19477	19371	19375	20261	21335	21234	21274
Første udbudspris	Ejerlejlighed	4030 Tune	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4040 Jyllinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4050 Skibby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4060 Kirke Såby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4070 Kirke Hyllinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4100 Ringsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10433	10035	10663	10280	11591	12640	12802	12550	14286	15588	15523	17416	15481	17092	16365	15376	15565	15243	14510	14042	16059	13288	..	13200	14833	11048	12163	14126	14055	11376	10939	11498	11319	13066	..	11270	9677	10355	9992	12486	9421	11050	10795	8375	11160	10647	13526	8839
Første udbudspris	Ejerlejlighed	4130 Viby Sjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4140 Borup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4160 Herlufmagle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4171 Glumsø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10197	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4173 Fjenneslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4174 Jystrup Midtsj	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	4180 Sorø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10667	..	..	13540	..	15177	13123	..	..	..	..	18123	..	..	..	18370	..	..	..	..	..	..	..	15094	14012	..	..	..	..	..	13165	14022	..	..	..	..	10701	..	..	..	..	..	11653	10423	..	..	..
Første udbudspris	Ejerlejlighed	4190 Munke Bjergby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
