priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	4243 Rude	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11340	..	..	11559	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4250 Fuglebjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7633	7590	8356	8247	8201	8465	7038	5981	10251	9961	10362	11942	12359	12088	9721	11890	11781	11628	11321	..	..	10851	..	8697	..	8973	10856	9339	7330	7542	..	9496	9163	..	9146	..	8235	..	7696	..	..	..	7121	7445	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4261 Dalmose	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5524	6873	..	7493	..	7306	7004	6308	8244	..	8840	6840	8491	9882	..	10001	..	11047	10589	..	..	..	7567	8197	..	..	7511	..	..	..	9006	..	..	..	..	..	..	..	..	5400	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4262 Sandved	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6529	7533	6014	6899	7331	7571	..	8053	8814	8765	10105	10101	8875	9666	..	10459	..	..	..	..	..	..	7960	..	..	7502	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4270 Høng	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7944	8144	8950	8473	8428	8736	9242	10005	7448	9148	11340	11489	11986	11619	11826	11627	12928	13288	10426	12210	12027	10955	9639	9938	8413	10411	9908	8851	12224	8392	10008	..	8326	8960	8395	10338	..	8295	9711	8799	..	8008	7720	8149	8609	8144	8850	8075
Første udbudspris	Parcel-/rækkehus	4281 Gørlev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6761	7165	7276	7374	7942	8166	7808	9118	8816	8426	10937	9233	11057	10147	10907	10818	10450	10200	11854	..	9331	10911	..	10668	..	9103	10291	9373	..	7793	8717	..	..	..	..	..	..	7645	7894	..	..	6621	7528	6102	6668	6648	7155	6648
Første udbudspris	Parcel-/rækkehus	4291 Ruds Vedby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6468	7302	7802	7886	7715	7623	8852	9688	8673	11387	9069	8243	8746	12128	11328	11678	9657	8928	..	..	10532	5893	..	9552	..	..	..	8229	..	..	..	..	..	..	8045	..	..	..	..	..	5683	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4293 Dianalund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7760	7978	8949	8036	7992	9122	9372	9510	10038	10139	12018	11390	7187	10850	13818	11300	12744	14272	12122	11307	12281	11928	11068	11981	11397	10061	10963	10439	10356	9547	9713	..	9473	10260	9193	7740	10047	8010	8105	7893	7716	7622	8615	7224	7198	10164	8558	7443
Første udbudspris	Parcel-/rækkehus	4295 Stenlille	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8008	8177	8622	9688	6717	7755	8964	8148	10808	10996	10775	12222	12470	12678	12459	12467	13780	11888	13999	10952	12473	11785	..	15176	11939	10711	8584	11071	..	..	..	9350	..	9134	8198	..	..	..	..	7958	9683	9396	..	..	9924	..	..	..
Første udbudspris	Parcel-/rækkehus	4296 Nyrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7724	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
