priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	5610 Assens	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6949	6882	6510	7797	6580	6244	7738	7367	8009	8013	9460	9068	8414	8712	8574	9131	9359	9531	9165	12269	10071	10547	11141	9924	8676	8094	8865	9251	10305	10716	10095	9902	8469	10030	9793	8575	9223	9945	8900	8530	9317	9715	8648	7819	8021	8759	8695	8831
Første udbudspris	Parcel-/rækkehus	5620 Glamsbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5613	5931	5284	5415	5708	5833	5937	5299	5881	6944	6267	7914	6749	7975	7014	8112	9536	7933	9009	9050	..	6577	9400	7640	9274	8802	8590	8411	7486	9143	7828	12130	7861	8315	7092	7431	..	8268	..	7419	6695	7428	..	7090	6609	8803	6556	8136
Første udbudspris	Parcel-/rækkehus	5631 Ebberup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4853	5534	..	..	6164	6277	5530	..	6729	7574	8027	..	7307	7668	6599	..	..	..	..	..	7664	8570	..	8190	10588	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5863	6020	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5642 Millinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9927	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	5672 Broby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5516	6250	5704	5396	5217	6136	5425	6623	6833	7646	6779	5873	7639	8721	8409	8006	8599	8006	8456	7719	..	6555	8239	7285	7394	7737	7827	7530	8142	7387	7077	6924	..	8635	8093	8406	7275	7019	6397	6478	5384	7658	6685	5020	7021	6902	6740	5504
Første udbudspris	Parcel-/rækkehus	5683 Haarby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5150	5914	5337	5677	5882	6037	6092	6350	7657	7632	9515	7178	6164	8460	7959	8638	8785	8371	10127	..	..	..	9868	8526	9747	8316	8047	7821	9690	9362	7500	7375	8177	7740	..	7120	8213	..	6375	7398	..	5663	7836	..	7729	..	..	..
Første udbudspris	Parcel-/rækkehus	5690 Tommerup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5662	5829	6785	6884	6212	6909	6768	7190	7399	9603	9878	9812	9351	8814	10565	10890	10917	10868	10072	10533	11554	10279	9326	10307	10095	10013	9614	9792	10690	8693	9903	7398	9156	7727	7391	8371	8495	8540	8659	8089	8438	9389	8478	7598	8283	7579	9443	8167
Første udbudspris	Parcel-/rækkehus	5700 Svendborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8469	8040	8764	9040	9055	9517	10386	10055	9972	11624	11206	11611	13087	13173	13511	14476	14839	14947	16025	14185	14387	15320	13661	14416	14146	13764	13648	12760	13237	12650	12717	13839	12064	12794	12410	12538	12938	13161	12091	11184	11390	12960	11659	12158	12192	11717	11692	13228
Første udbudspris	Parcel-/rækkehus	5750 Ringe	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5684	5369	6740	5483	6157	5956	6187	5703	6118	7583	7789	7703	8415	8548	8940	9141	9787	9525	9583	8952	9548	8888	8205	9563	9258	9596	9477	9416	10378	9002	9604	11764	9554	8305	8753	8855	9356	9830	9418	7501	8145	7209	8908	7891	9051	7938	8101	6906
Første udbudspris	Parcel-/rækkehus	5762 Vester Skerninge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5672	6575	4804	5905	7775	6443	7174	8912	7224	7559	8187	7955	9234	9051	9216	8575	10529	11611	9218	9762	..	..	9097	..	9899	9488	9238	8436	11232	8745	9711	8275	9040	..	10995	6812	6565	9640	8590	..	8915	7901	6304	10082	8682	10974	6572	6685
