priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	4780 Stege	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7311	7844	7720	7403	8475	8045	8608	8054	9012	10433	9851	9128	10456	10654	10593	10824	11441	11570	12415	10466	11506	10569	10325	10969	8953	8850	10308	10128	8258	8030	10117	8124	7148	9313	9698	8529	8865	6909	7771	6349	6594	8281	6825	5467	7551	8412	6894	6184
Første udbudspris	Parcel-/rækkehus	4791 Borre	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8164	5532	8161	7827	7149	7115	..	..	9723	..	..	7473	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4819	4595	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4792 Askeby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5857	..	7605	7262	..	7104	..	..	..	7698	..	..	9739	..	..	..	..	..	..	..	..	..	11895	7932	..	8734	..	..	6674	..	..	..	..	..	..	..	..	..	..	..	..	6676	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4793 Bogø By	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10033	..	..	8256	7173	..	..	..	..	..	..	..	..	..	..	12300	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4800 Nykøbing F	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7516	7657	7325	8086	8448	8646	8632	9191	9718	10247	10254	10042	11100	11204	11715	11154	11034	11712	11682	10928	10811	10999	10818	10657	10747	10826	10038	9866	10157	10690	9325	9421	8759	9068	8455	8090	8562	8928	7899	8640	7423	9106	8012	7604	9114	8613	8458	9406
Første udbudspris	Parcel-/rækkehus	4840 Nørre Alslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5823	5774	6338	6034	6521	6814	6344	7164	7311	8474	7417	8665	8602	9509	9020	8599	8379	8967	8775	8727	..	8496	8864	9659	6533	8467	9701	8083	7338	7545	6381	..	7225	..	8469	5818	5447	4320	5682	6739	5773	6766	4993	4919	4810	4334	4916	4671
Første udbudspris	Parcel-/rækkehus	4850 Stubbekøbing	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6334	6196	6470	6414	6217	7058	7189	6563	7627	7610	8320	7751	7926	8340	7798	9117	8175	9397	9377	..	12797	6508	9167	8783	8237	8218	7237	..	..	6652	4901	7770	..	..	10813	8692	..	..	..	7565	4507	7130	4366	6256	5393	5350	5889	..
Første udbudspris	Parcel-/rækkehus	4862 Guldborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5298	..	..	..	..	..	..	..	6422	..	7144	..	..	9972	..	9144	7976	9888	..	..	10042	..	..	..	..	..	..	..	..	..	7745	..	..	..	..	..	7750	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4863 Eskilstrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5871	5785	7124	..	6413	6918	7170	7686	6851	6727	9165	8180	8289	8568	7991	..	9391	7693	9914	7450	..	7667	..	..	8916	..	..	7793	..	..	..	5908	..	..	..	..	..	..	..	..	..	5281	5212	..	3953	..	..	..
Første udbudspris	Parcel-/rækkehus	4871 Horbelev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4309	4578	..	4423	..	5779	5225	5292	6951	7463	7131	7323	7831	7480	..	7209	5841	7305	..	6130	..	..	7377	5906	..	..	..	..	..	..	..	..	..	..	..	..	5720	..	..	..	..	..	..	..	..	..	..	..
