priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	4470 Svebølle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7207	5083	7631	7947	6153	4722	8091	8963	7995	8028	9073	10020	9188	10301	10865	9772	9246	..	11433	..	11993	10302	10991	..	..	9466	7142	8567	5262	7637	7798	..	..	..	6872	..	9314	..	9327	6082	..	8603	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4480 Store Fuglede	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5895	..	..	..	..	..	..	6853	..	7561	8416	..	8877	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4490 Jerslev Sjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7294	6916	7518	7530	7664	7785	8357	8221	8599	8904	8623	9217	9238	9582	9370	8360	10796	9645	11112	..	..	10036	..	..	..	..	7743	..	..	..	..	..	..	..	..	..	..	..	6739	..	6642	..	..	7486	7137	..	..	..
Første udbudspris	Parcel-/rækkehus	4500 Nykøbing Sj	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7938	8377	7620	7680	8136	9276	8318	10055	9808	9594	11220	12484	12442	12443	12907	11452	12562	12550	12860	13298	13880	10955	13718	9931	14595	10810	11338	10832	10503	9534	9983	11561	9126	10388	10753	8976	11503	8673	11886	9254	7774	7660	7472	6886	7083	7430	7232	7260
Første udbudspris	Parcel-/rækkehus	4520 Svinninge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8314	9697	8192	9423	10006	9181	9587	8651	10865	10955	11992	11504	12155	12327	11977	13423	11900	13559	11957	..	..	11259	11847	11787	..	10236	9729	9768	..	11054	8865	..	8581	..	8869	7338	9054	8033	9123	7781	9104	8447	..	8760	8078	8280	9791	9201
Første udbudspris	Parcel-/rækkehus	4532 Gislinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8544	..	6170	..	10180	..	11015	..	10684	10931	12321	..	10657	11608	..	14849	17485	14270	..	..	..	10664	..	..	..	12858	..	..	..	..	12252	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4534 Hørve	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7644	8421	6632	7935	8107	8578	..	9759	9722	11433	10971	11150	10810	12797	11073	..	..	12989	12840	11351	..	10130	..	..	..	10534	..	11881	7774	..	..	7639	8591	8575	7522	..	..	..	..	..	..	6769	..	..	7458	..	..	..
Første udbudspris	Parcel-/rækkehus	4540 Fårevejle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9917	8166	9379	7823	9306	9216	9791	9557	9806	10838	10790	10848	10367	12932	11778	12538	13995	12261	11243	..	..	..	9479	9838	9673	..	..	..	12565	..	10475	8262	8757	10036	..	..	..	7690	8161	..	..	7636	13511	7553	6665	6298	8018	9191
Første udbudspris	Parcel-/rækkehus	4550 Asnæs	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8468	8363	14095	7528	8178	9842	10372	9621	9922	11492	13176	12942	11722	12894	11316	12728	13515	13722	13989	11658	12457	..	10775	..	9300	12022	11399	..	9621	..	13598	9829	8211	..	10049	..	..	8875	..	8845	..	8689	8793	8514	10604	9003	9024	..
Første udbudspris	Parcel-/rækkehus	4560 Vig	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7580	6396	7869	8275	8545	7360	8963	6638	6760	8386	11072	9613	12164	13072	10787	11676	11493	11440	9780	11212	..	..	9380	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8786	..	7686	7283	7941	..	..	..
