priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Hele landet	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9014	9219	9481	9699	10040	10576	11114	11699	12499	13285	13825	14139	14333	14577	14573	14634	14626	14669	14506	14321	13865	13725	13430	13494	13372	13475	13277	13310	13234	13200	12905	12914	12773	12635	12569	12433	12465	12473	12407	12495	12452	12624	12512	12500	12874	13144	13041	13067
Første udbudspris	Parcel-/rækkehus	Region Hovedstaden	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14949	15173	15998	16576	17274	18620	20109	21529	23434	25106	25978	26639	26738	26609	26169	25910	25731	25027	24753	23870	22502	21711	21481	21476	21317	21804	21732	21998	21820	21843	21255	21095	20741	20299	20390	20526	20489	20520	20527	20777	20765	21122	21582	21447	21908	22697	22894	23222
Første udbudspris	Parcel-/rækkehus	Landsdel København by	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16673	16964	17979	19071	19520	21374	23128	25119	27279	28635	29395	30740	29962	30660	29595	28872	30120	28760	27976	28449	26275	25063	24960	24840	24854	25532	25553	26362	25289	26613	25648	25131	24784	24815	25103	24791	25578	25886	25471	26595	26575	27075	27838	28547	28741	30293	30322	31069
Første udbudspris	Parcel-/rækkehus	København	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16748	17219	17907	19404	19820	21794	23979	25626	27642	28381	29589	31889	30896	30844	29877	29223	30205	29069	28029	28678	26834	25599	25633	25218	25244	25990	26015	26826	25270	27032	26904	25643	25298	26217	25748	24827	26073	26332	25682	27241	26948	27974	28547	29463	29780	30941	31358	32014
Første udbudspris	Parcel-/rækkehus	Frederiksberg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17894	20277	23391	25602	26193	23420	28943	30380	33194	37545	39116	34235	35266	40597	34215	..	44270	39255	36984	40025	34002	35131	31876	32855	36127	37943	36970	38027	39805	40775	30331	32643	33587	30440	35954	38538	39071	37840	34494	37182	40417	37690	38928	41377	41629	46291	43211	45917
Første udbudspris	Parcel-/rækkehus	Dragør	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18025	16586	18513	15843	18342	20643	20453	24142	26485	27415	27580	29342	30076	31499	31378	27252	30380	28001	28915	28162	27736	24193	24782	25058	25034	24527	24363	26476	24785	24052	24561	25537	26199	22789	22718	24427	24902	25385	25137	24314	25964	24385	25212	25576	24827	27359	27136	27856
Første udbudspris	Parcel-/rækkehus	Tårnby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15418	15238	16034	17264	16841	19786	19854	22261	24520	26778	26243	26857	25395	26277	26350	25947	24841	24592	24257	23909	21317	20446	20732	20877	19743	20387	20826	20932	20526	21701	20967	20871	19596	19837	20620	20079	19803	20706	21897	22162	21004	22111	23217	22873	23132	24312	24335	24728
Første udbudspris	Parcel-/rækkehus	Landsdel Københavns omegn	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16117	16517	17443	18134	18927	20424	22259	23996	26336	27961	28607	29007	29260	28886	28370	28132	27583	26774	26325	25698	24222	23735	23390	23177	23420	24064	24173	24355	24154	24218	23568	23700	23142	22336	22758	23096	22850	23322	23474	23308	23387	24016	24559	24517	24926	25773	26122	26845
Første udbudspris	Parcel-/rækkehus	Albertslund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12493	13060	14153	14692	15089	15973	17297	18046	18814	21033	22041	22094	21957	21716	20706	20562	21102	20075	20262	19281	20307	18538	17597	17520	17753	17569	17170	18291	17900	17510	16856	17262	16889	16964	16903	16341	15541	16951	15863	16210	16551	17311	16991	17073	17052	17751	18143	18092
Første udbudspris	Parcel-/rækkehus	Ballerup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14824	15240	16101	17081	16906	17915	20380	21418	22264	24170	25863	24192	25491	26361	26021	25994	24202	24233	24081	21922	22852	21644	21477	21305	20172	22032	20695	22081	22426	21626	21197	20501	20355	19376	21329	20017	19717	20444	20983	20175	18653	20450	21580	21410	20921	21465	22281	20754
Første udbudspris	Parcel-/rækkehus	Brøndby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13502	14749	15709	16893	16585	17515	19520	21127	22135	24976	24808	25795	24735	24666	23242	24107	21893	24236	22155	21895	21075	20063	19601	19385	18818	19699	19879	20313	18807	20676	19970	21998	18539	18501	17254	18516	18629	17888	19240	18310	19501	18834	19680	19736	19557	19811	20339	21219
Første udbudspris	Parcel-/rækkehus	Gentofte	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	20638	20785	23442	23781	25742	27955	30546	32760	37189	38591	39260	42095	41132	39018	38974	38524	38938	36220	35934	35730	34459	33331	34268	32955	33846	35303	35822	35488	35756	34267	33275	35662	34809	32334	33254	33416	34289	35163	34623	34534	35632	36245	36846	37052	36142	38274	37985	40696
Første udbudspris	Parcel-/rækkehus	Gladsaxe	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16595	17376	16892	18106	19567	20797	22559	25172	27581	29608	30094	30359	30714	29403	29327	28201	29936	28288	26766	26528	24456	25302	23230	23732	23099	24575	24006	25320	25869	26153	25226	23985	23586	24008	23823	25150	24141	25149	24650	24865	24753	24481	27145	26081	27376	27102	28170	28909
Første udbudspris	Parcel-/rækkehus	Glostrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14619	14380	13527	15659	16436	17923	19897	21750	23346	21629	24606	24782	23759	26476	25216	25248	22477	21277	23153	23227	20479	21651	19696	20191	20375	20012	21011	19913	19524	18014	20078	18401	19725	17699	19180	20276	19589	18777	20373	19574	17556	19331	19715	20808	19579	20519	21889	21713
Første udbudspris	Parcel-/rækkehus	Herlev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14426	15827	16209	16373	17387	18664	19918	21933	23180	24798	26197	25369	27147	26758	25296	24585	23956	24683	24523	22733	21199	21335	21528	20243	21014	21630	21388	21529	22664	21880	21751	20482	20924	19877	20590	21502	21137	19509	20302	20288	21521	21101	21814	21178	22119	22827	24176	23645
Første udbudspris	Parcel-/rækkehus	Hvidovre	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14408	14696	15344	16077	16536	18965	19405	20693	23612	24521	25276	24853	25777	26389	24537	25168	24792	24509	24406	23027	21395	21520	21094	21444	21331	21414	21606	20399	21557	22190	20978	20659	20595	19177	19860	19585	20642	19891	20780	19940	20809	21315	21793	21577	22468	23749	24108	24400
Første udbudspris	Parcel-/rækkehus	Høje-Taastrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13602	13642	14529	14770	14977	16058	16951	17869	20884	21769	22015	21657	22476	22474	23747	22710	21560	21361	21474	20965	19032	18211	18552	17776	18476	18421	18870	17658	17718	17646	18257	17599	17072	16807	16675	17260	16238	16957	16546	17489	16607	17366	17491	17332	18095	18348	18240	18620
