priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	7673 Harboøre	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4262	5426	..	..	..	..	4369	4706	7144	4996	..	4725	..	..	4785	5543	6582	5102	4821	..	..	6579	..	..	..	..	..	..	..	..	5417	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7680 Thyborøn	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4742	5010	5555	4146	4733	5447	5861	5631	5630	6615	..	..	..	5793	..	..	7210	7717	..	..	6640	4717	..	5710	..	..	5164	..	..	..	..	..	..	..	..	..	..	..	4935	..	..	..
Første udbudspris	Parcel-/rækkehus	7700 Thisted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5620	6482	5968	6263	5722	6415	6183	6339	6963	6710	7019	6800	7682	8157	8168	8640	8262	7715	8810	10010	7712	8923	8321	7825	7933	8456	8990	8096	8557	7901	8394	7902	8221	7961	7730	7597	8075	7368	8232	8457	8810	7471	7536	8591	8105	8567	8656	8202
Første udbudspris	Parcel-/rækkehus	7730 Hanstholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4371	..	..	..	6569	5260	6901	5888	5851	..	10474	6037	5499	6008	7112	6374	6069	6345	..	5797	..	4040	..	..	..	5015	5603	..	..	5373	..	5434	..	5987	..	..	6058	..	5696	..	7213	..	12081	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7741 Frøstrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11080	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4856	..	..	..
Første udbudspris	Parcel-/rækkehus	7742 Vesløs	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4187	..	..	..	4112	4454	..	..	..	4620	..	..	4166	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7752 Snedsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4047	3572	3482	4895	4332	4483	4283	3915	5312	4573	4352	4501	4683	4983	3792	5264	5423	5384	5637	5427	6492	4336	..	4545	7468	5293	6814	4925	5205	5214	4207	4825	6782	..	4263	3443	..	4078	4441	4275	4346	4891	4024	5524	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7755 Bedsted Thy	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4141	..	2679	3489	3759	..	4485	..	4113	3604	2978	3428	4025	3969	3849	3878	4618	4083	4601	..	5021	..	4180	..	4673	..	..	4488	..	..	4965	..	..	..	..	..	..	3913	5753	3837	3776	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7760 Hurup Thy	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4321	4872	5007	4880	5809	4220	3941	4307	6473	5323	4907	6833	5718	6344	5566	5562	6414	5883	5474	6690	5977	6433	5553	6130	6909	6252	5727	5632	6543	7754	4827	6011	..	4387	6815	..	4770	7049	..	5624	5845	17327	3266	4584	6440	4946	6395	6524
Første udbudspris	Parcel-/rækkehus	7770 Vestervig	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4832	..	..	..	4190	..	5851	..	5496	..	..	..	4660	..	..	..	..	..	6108	..	..	6232	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5579	..	..	..	..	..	..
