priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	8600 Silkeborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9552	9643	9394	10148	10677	11367	11721	12258	13685	13499	15123	16483	15455	15686	16595	16815	16547	16239	17029	16782	15588	16926	15581	14863	15762	15074	15258	15407	14285	14990	15155	15050	15715	15200	15625	14662	14592	14477	15283	14393	13516	14471	15006	14236	14297	15055	14797	16127
Første udbudspris	Parcel-/rækkehus	8620 Kjellerup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5013	5844	5842	5793	4975	6275	6193	6260	5468	6823	6081	8064	7923	9031	8986	8643	9091	9115	9766	9911	9862	8369	10535	8593	9912	9067	7318	8942	10386	9736	8146	8624	7399	9330	8848	9526	10137	7508	7210	7751	7678	8010	7984	6834	8969	7570	7489	7148
Første udbudspris	Parcel-/rækkehus	8632 Lemming	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5543	6996	..	..	9481	..	..	..	..	..	..	..	11675	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8641 Sorring	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9082	..	..	..	..	..	..	..	..	11285	..	11784	..	10907	9952	..	..	..	..	..	..	..	..	..	..	11548	..	..	..	..	12215	11578	..	..	..
Første udbudspris	Parcel-/rækkehus	8643 Ans By	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7147	5762	7127	7247	..	7798	8733	..	9005	9341	7513	..	9111	8138	..	..	..	..	..	..	..	10199	9230	..	..	..	..	..	..	9098	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8653 Them	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6347	5426	5623	6571	5489	5346	6751	8367	10010	10771	10766	10900	11215	12076	12910	14527	12648	12600	11780	..	..	..	13281	..	11673	12007	10485	..	13909	..	13320	10485	14732	12234	12981	..	..	11371	9487	9957	..	11675	9031	..	11347	..	..	..
Første udbudspris	Parcel-/rækkehus	8654 Bryrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6837	6535	..	6427	6606	7464	7016	6217	4901	7302	4612	..	11232	8330	9358	12576	11507	9738	..	..	..	..	..	..	10540	..	..	..	11635	..	..	10654	..	..	9015	..	..	..	..	..	..	..	..	..	9823	..	..	..
Første udbudspris	Parcel-/rækkehus	8660 Skanderborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9079	9853	11343	10453	9442	10235	11969	13317	13443	14444	15350	14114	15068	16228	15428	15893	15993	16242	15506	17451	16524	15258	16610	17810	17793	14491	16978	16786	16334	15118	16143	16679	16002	16301	14983	15643	15284	16734	16968	16960	15853	15127	15407	14895	15264	15890	16928	16806
Første udbudspris	Parcel-/rækkehus	8670 Låsby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8108	8682	7806	6114	9723	10047	11199	9212	..	12274	10692	..	12239	..	13163	..	12785	13735	..	..	..	9831	..	..	11448	..	..	..	..	9124	..	9651	..	..	..	..	..	..	..	..	10751	..	..	11317	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8680 Ry	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9041	10846	10718	11331	10634	12148	12261	13266	13357	13386	16139	17757	16714	16516	15796	17216	17704	16685	19345	20109	..	19534	16925	18365	15014	15360	16974	16040	15034	15381	15685	16520	16146	15476	16152	16607	16655	15871	15665	14277	14077	16665	14085	14391	15233	18097	16558	15781
Første udbudspris	Parcel-/rækkehus	8700 Horsens	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7614	7506	7937	8301	8743	8812	9787	10076	11283	12245	12578	12898	13028	13647	13744	13737	13550	13600	13514	13116	13825	13535	12015	12247	12627	12286	12634	12549	12095	12367	12662	11378	12012	11835	12230	11426	11102	11721	11141	11063	12111	11059	11725	11559	12046	11805	11540	12335
Første udbudspris	Parcel-/rækkehus	8721 Daugård	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7104	7232	..	..	..	9103	..	9147	..	9468	..	..	..	..	11860	13228	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12456	..	..	..	..	..	..	..	11037	13320	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8722 Hedensted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7937	8418	7771	8920	7786	9651	9583	9780	10016	11871	11041	9931	11821	12169	12040	13366	12792	13047	12367	11272	12689	12728	13966	11445	12094	12594	12114	10907	11512	13451	12477	11575	10816	11130	9878	11344	10776	10550	10982	10752	9924	11484	10341	10686	9705	10307	11918	9424
Første udbudspris	Parcel-/rækkehus	8723 Løsning	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6678	7163	7073	6759	7330	8339	8192	9157	7878	9360	9971	9886	10273	10423	10979	12810	10893	10344	12367	11236	10186	12354	9985	9923	9211	10712	10247	11202	10979	9930	9598	8148	10406	9346	9562	10700	8921	8567	9923	7903	9558	9834	10899	8420	8936	9740	8918	9213
Første udbudspris	Parcel-/rækkehus	8732 Hovedgård	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6932	..	..	7206	6798	9069	9235	9716	9341	11379	9499	8841	12271	9055	12248	11250	9060	11814	..	..	11626	10318	12246	..	..	13632	11083	11360	12280	11971	11314	..	..	11361	..	..	..	9486	..	..	..	8571	..	..	9614	..	..	..
Første udbudspris	Parcel-/rækkehus	8740 Brædstrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5348	6170	5921	5413	5581	4075	6647	6115	7200	8073	7824	7667	8109	9790	9616	9925	10242	9207	9920	..	9981	9475	9948	9607	9590	9704	8129	8815	10452	9897	8183	10295	7289	9088	6423	9384	7898	8053	8300	7491	7965	8597	5985	8009	7506	7003	7656	7423
Første udbudspris	Parcel-/rækkehus	8751 Gedved	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6559	6271	7327	8606	..	9709	11536	8113	..	11003	10890	..	10602	11569	..	11664	..	13836	13848	12607	..	11253	..	..	..	..	13090	..	..	10414	..	..	12859	11172	10980	..	..	10117	..	..	8868	10801	..	..	11466	..	..	..
Første udbudspris	Parcel-/rækkehus	8752 Østbirk	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6410	7104	7524	7673	..	6851	8232	6554	6911	7446	9914	9700	12654	10597	11342	..	11621	11811	..	11144	11506	13815	..	..	11598	9412	..	..	10512	..	10655	..	10196	10521	..	..	..	9100	..	..	..	8870	10361	9361	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8762 Flemming	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5075	..	..	8090	..	7401	..	..	..	7581	7056	8556	..	..	8611	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8763 Rask Mølle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5609	..	..	..	..	7390	..	6927	7485	..	7959	7385	..	9798	..	..	10158	9090	9668	..	..	..	8901	..	7557	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8765 Klovborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6971	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
