priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Kalundborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7686	7521	8484	8084	8334	8306	9045	9468	9382	9415	10465	10711	10925	11060	11541	11557	11608	12324	12102	11275	11276	10687	11413	11683	9573	10112	9988	10301	9559	10000	9861	10602	9860	9678	9414	9118	8912	9321	8493	7959	9109	9041	8112	7989	8750	8199	7893	7735
Første udbudspris	Parcel-/rækkehus	Lolland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4579	4818	4674	4805	5000	5297	5218	5271	5970	5688	6309	5947	6290	6326	6645	6449	6960	6901	7091	6793	6370	6534	7023	6510	6228	6485	6572	6376	5843	6227	5410	5969	4854	6088	5538	4976	6056	5466	4311	4379	4890	4430	4718	4280	5289	4913	4940	3951
Første udbudspris	Parcel-/rækkehus	Næstved	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8914	8504	8945	9058	9203	9879	10219	11370	11215	11815	12514	13393	13388	13393	13862	13991	13614	13860	13557	13007	13034	12671	12492	11855	12721	12401	10892	11858	11517	11501	11020	10657	10254	10687	10510	10251	11184	9248	9475	10182	9398	10105	9375	9621	10449	10209	10167	10052
Første udbudspris	Parcel-/rækkehus	Odsherred	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7865	8184	7672	7977	8702	8632	9528	8904	9136	10355	11171	11098	11770	12668	11961	11689	11917	12613	12020	12078	12523	11516	11297	10056	11358	10932	11068	9953	10066	8794	10503	9935	8071	8555	8786	8333	9320	7858	9579	8112	7558	7647	8085	7462	7656	7495	7235	8016
Første udbudspris	Parcel-/rækkehus	Ringsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9322	9700	10114	10566	10713	10742	11626	11944	12961	15384	16033	15113	16466	15901	15485	15973	15579	17051	15472	15657	16339	15265	14913	13384	13984	14216	13434	13720	12669	13072	12993	12794	13380	12165	11322	11663	12212	11070	11352	10945	12803	11750	11699	11307	12445	12681	11773	11250
Første udbudspris	Parcel-/rækkehus	Slagelse	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8209	8657	8364	8132	10088	10155	10087	11224	11376	11294	12144	12659	12618	12880	13202	12762	13867	13486	13470	13748	12876	12882	11909	12443	11931	11184	11694	11007	11042	11945	10326	10662	10409	10443	10804	9407	9940	9903	9838	10190	10345	9654	9692	9681	10103	9972	11073	9881
Første udbudspris	Parcel-/rækkehus	Sorø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8692	8860	9750	8745	9360	10151	10406	10699	11066	12448	12854	12941	11721	13528	14621	14671	14066	15174	14326	14731	13458	11000	12936	13351	13720	13252	12011	12779	11501	13733	12195	11539	11659	11057	9895	11067	11020	11508	10452	9385	9584	10959	9939	9815	10916	10447	9792	9290
Første udbudspris	Parcel-/rækkehus	Stevns	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8841	9712	9698	9597	10352	11310	10717	11345	12234	13387	15580	15144	15657	15315	15417	15639	14838	14792	15949	14088	12655	14754	14639	11941	12168	12768	12053	11159	10184	10653	11441	11417	10490	11286	10412	10621	9256	9591	10159	9841	10776	8933	9995	10664	11030	10556	10589	10192
Første udbudspris	Parcel-/rækkehus	Vordingborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7264	7641	8202	8038	8143	7832	8971	8513	8880	9963	10414	10320	11363	11342	11691	11949	11598	11751	11480	10630	11221	11066	10698	11034	11135	10009	9876	10094	9338	9475	9545	9444	8559	9748	8489	8680	7702	7355	7604	7456	7419	7331	7386	7227	7555	7933	8039	7563
Første udbudspris	Parcel-/rækkehus	Region Syddanmark	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7002	7097	7218	7440	7581	7808	7987	8283	8719	9079	9529	9732	9944	10344	10570	10966	10860	11282	11153	11110	10932	11102	10711	11031	10703	10825	10587	10612	10507	10493	10295	10404	10301	10180	10081	9810	9871	9914	9896	9896	9845	9973	9702	9843	9978	10247	10078	9928
