priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	7990 Øster Assels	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2691	..	..	..	..	..	3717	3952	..	3796	..	..	..	3034	..	4115	..	..	4088	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8000 Århus C	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17127	21888	19687	20435	25333	23994	26049	32128	29574	29286	..	..	31150	33341	31378	..	32726	32906	32065	..	..	28539	27538	36388	27381	28380	37131	25654	31474	28078	25523	..	34070	33017	28487	28705	30350	30228	33954	30715	32733	31706	33870	33660	42049	31957	36625	44530
Første udbudspris	Parcel-/rækkehus	8200 Århus N	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13617	13694	14557	15111	15005	18141	20438	22295	20987	24135	22150	..	22607	22788	23474	24732	21146	23311	22193	21544	..	22268	21539	23267	22462	21961	20771	22021	22303	23511	21709	22746	22698	21400	18533	23561	19421	23904	18964	22681	19636	21925	19797	22753	24481	25362	24261	26709
Første udbudspris	Parcel-/rækkehus	8210 Århus V	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11113	11749	13840	13116	14556	15309	16667	16946	18042	19699	20957	19453	20503	20675	18872	19930	20339	20915	20156	20852	19083	18294	17891	18539	18730	19767	19212	18878	19512	18911	20038	18637	18898	18999	19784	19373	19453	18751	18629	19073	19625	20251	20779	19741	20830	19559	20059	19414
Første udbudspris	Parcel-/rækkehus	8220 Brabrand	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10947	10870	10473	12966	13093	11927	16147	14239	17540	18433	19470	..	18406	19629	19559	19920	18386	18881	18618	20041	18099	18009	16708	19102	18936	19066	17926	21575	20191	19007	19084	19380	19628	18557	18856	19080	19485	19359	17566	17584	20332	18801	19821	20801	20367	19715	20815	20265
Første udbudspris	Parcel-/rækkehus	8230 Åbyhøj	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13548	13721	14056	15898	16094	17631	18401	20859	20570	24057	21971	21601	22361	24255	22102	23478	20775	22149	24181	20476	19950	22249	21714	21958	22375	22806	22878	20798	23140	22337	23472	21025	20402	21382	19015	23964	24851	21869	22724	22107	23596	22526	22890	25653	23647	24238	24617	26674
Første udbudspris	Parcel-/rækkehus	8240 Risskov	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15275	15606	15877	16149	17951	17633	20017	23651	23360	24656	24373	28189	26647	25832	24710	26953	25243	25697	25059	24475	27445	24583	23737	23403	26432	23752	28211	26633	24323	25620	25574	24329	25179	24600	27295	25022	27293	25726	25048	26124	24319	24293	23998	26018	26733	26332	27829	28417
Første udbudspris	Parcel-/rækkehus	8250 Egå	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13232	13880	13831	15154	15309	16526	15986	21337	18371	22003	21217	24677	22232	23972	20769	27291	25769	22870	21774	..	21729	24278	21646	19004	20646	22004	19608	21778	23841	21046	19512	21969	22401	20587	21748	21411	21946	20687	20335	20788	21179	21570	18867	21753	22280	22703	23015	22525
Første udbudspris	Parcel-/rækkehus	8260 Viby J	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12086	12573	13783	13099	14539	14836	15838	17626	19323	19013	21629	19130	21524	21508	23075	20627	21576	20749	21831	18473	20251	18029	20790	20182	20777	20792	19723	21155	21561	21324	19691	19078	19868	19670	18769	20004	19365	19361	19702	18891	20489	20411	19154	23809	22455	21961	20928	21871
Første udbudspris	Parcel-/rækkehus	8270 Højbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12649	15173	14782	15927	16224	18152	18675	19805	21831	23150	24637	24675	25196	23283	25553	26297	25089	25211	23799	23692	24895	22367	22688	22670	23244	22647	22423	23451	23310	23389	23457	23302	25015	22940	22906	21499	24814	22430	21991	25528	24394	23729	22216	24507	26186	24327	23751	24405
Første udbudspris	Parcel-/rækkehus	8300 Odder	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7509	8729	9401	9070	8201	9768	10910	11054	13247	12815	13499	13295	12393	14045	13662	15140	12783	15745	14913	15520	14397	14579	15019	13339	13941	14186	12859	12846	14119	14080	12522	13588	12747	13862	14236	12721	12708	12717	12871	12687	12569	12491	12419	12291	12709	13472	13014	13878
Første udbudspris	Parcel-/rækkehus	8305 Samsø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4844	5223	6814	5331	..	9362	4692	6020	4967	..	7550	8608	6025	10035	9068	9357	8495	8325	9469	..	9821	10449	9081	7559	7011	8289	7605	6904	7188	8607	10382	7624	6722	7772	..	7603	8182	..	5703	6980	..	6039	7491	6297	8371	6990	8413	7869
Første udbudspris	Parcel-/rækkehus	8310 Tranbjerg J	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11685	11946	11917	12846	14346	14431	14713	16474	17607	17773	17332	16070	17838	20100	19276	18168	18297	20133	20843	19261	19740	18285	18206	17588	18198	17276	18110	17465	17698	17780	17494	16605	16389	17020	17123	16365	16788	17169	17036	16206	15788	17479	17117	17277	17143	17949	18583	17880
Første udbudspris	Parcel-/rækkehus	8320 Mårslet	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11982	11079	12283	..	13938	14381	14199	16347	15997	17432	18126	..	19429	19504	19808	19558	19653	19526	..	19119	17446	19797	17092	18326	18709	17690	18176	17144	17981	18042	17389	17135	16507	18072	18288	18540	19483	17159	17933	16307	17621	18895	19015	15407	18004	18742	18454	20002
Første udbudspris	Parcel-/rækkehus	8330 Beder	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11269	..	..	13305	..	..	16179	18449	19483	..	..	..	21726	22860	23165	18775	19680	19640	19107	..	16526	..	18790	17850	17079	17907	22719	17730	..	17543	23091	18228	..	..	16614	18667	..	17315	..	17389	16503	17390	16766	16986	16060	18758	17618	18597
Første udbudspris	Parcel-/rækkehus	8340 Malling	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10905	..	..	..	11869	13754	..	..	..	..	19116	..	17026	15889	..	..	..	16349	..	..	..	18299	23158	13774	13822	14951	17640	15601	14240	13288	..	16198	16680	..	..	13028	13586	..	15720	16415	15247	15224	..	..	16189	..	..	..
Første udbudspris	Parcel-/rækkehus	8350 Hundslund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7042	6930	..	6326	7001	7453	6463	..	..	10696	..	..	..	..	11785	..	9457	..	..	..	..	..	..	..	..	..	11447	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8355 Solbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8642	9666	8951	10606	11259	11853	..	13230	13380	..	14229	13957	16209	14576	16429	17406	16275	16827	..	..	..	..	13921	16084	14480	15484	14177	16618	..	14801	18424	15569	16146	..	16432	14226	14043	14473	16247	14551	14007	14425	13834	13747	16995	15448	11998	13681
Første udbudspris	Parcel-/rækkehus	8361 Hasselager	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10054	10898	11684	11688	13571	12682	13315	14762	16619	17069	17766	19053	19216	18601	19589	19980	16316	17181	17268	16742	17502	20528	16666	17424	16317	16131	15942	16336	17352	17132	16611	..	17582	16168	16858	16979	15928	15185	16674	15478	16464	16250	16418	15859	16487	16355	16635	16866
Første udbudspris	Parcel-/rækkehus	8362 Hørning	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10004	10207	10865	10845	11500	12182	12047	13786	13293	14374	16174	17395	17114	15965	16921	16849	16946	17112	17239	16635	16734	15721	16798	14813	15654	16106	15786	15801	15801	15798	13761	15856	12214	14791	15094	15665	14056	14781	12466	14793	16069	20054	14301	15623	16131	16228	16050	16147
Første udbudspris	Parcel-/rækkehus	8370 Hadsten	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8203	8790	8336	7725	9204	9848	9843	9989	11799	11560	11585	15480	14463	15193	13225	12341	13220	14756	13737	15620	14541	13529	13625	12994	12381	13024	13269	12272	14328	13363	11458	12746	12400	13467	11236	12183	12081	10785	13709	11554	11376	13657	11717	11112	12238	15212	11357	10990
Første udbudspris	Parcel-/rækkehus	8380 Trige	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9669	10669	9060	12128	11245	12409	12648	13606	14450	14804	..	..	..	..	16395	..	..	13631	..	14601	..	14685	12599	..	..	12723	14917	13153	..	13969	..	13847	15163	..	12110	..	..	12249	14468	13850	13176	12096	..	14524	15192	16043	..	..
Første udbudspris	Parcel-/rækkehus	8381 Tilst	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10759	11163	12199	12094	11987	12926	13771	15494	16015	16674	18246	17014	17754	18487	17143	17075	19289	16130	17871	16174	16157	18164	16284	16695	16080	16046	16396	15665	16093	16412	16957	16069	14825	16478	16228	14928	15505	17589	16645	17832	16453	16241	16706	15514	16810	16524	17297	16575
Første udbudspris	Ejerlejlighed	7990 Øster Assels	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Ejerlejlighed	8000 Århus C	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17875	19630	21561	22587	23422	25083	27778	28648	30192	31368	32306	31790	31718	31454	29708	28940	28620	28234	27333	25427	25661	25270	25521	25863	26606	26440	26383	26966	27546	28258	26945	26913	26268	26352	26791	26845	27798	28112	28621	28193	28539	29620	29957	29434	30257	31528	32103	32587
Første udbudspris	Ejerlejlighed	8200 Århus N	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18009	18811	21110	21076	22752	25554	26269	28021	29155	29273	29768	30280	31003	28972	28226	27709	27428	27697	25137	25282	23268	24136	23958	24217	24505	25653	26010	26525	26231	26556	25781	25579	25972	25155	25226	26397	27789	27251	27055	27441	26258	26857	27533	27699	28365	29301	30067	30776
Første udbudspris	Ejerlejlighed	8210 Århus V	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14916	..	..	..	..	18461	19853	22392	24950	25506	27595	24822	..	24336	26345	..	..	23723	26196	..	..	21158	20427	..	21520	23587	25173	22448	23413	..	..	21072	..	22556	21757	..	23379	21106	23464	23021	24217	24163	24839	..	25109	..	..	..
Første udbudspris	Ejerlejlighed	8220 Brabrand	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12767	12377	14046	14197	15129	13969	17560	15571	16957	18078	21467	..	..	19207	..	19260	19041	18842	16849	..	17784	14847	17590	15773	16155	17376	17254	15145	18606	16897	18047	19008	17122	..	18236	16848	16995	16783	15931	15695	15235	17477	16358	17597	19709	19157	18290	18152
Første udbudspris	Ejerlejlighed	8230 Åbyhøj	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16469	16328	17222	17082	18088	18118	18247	20987	22481	23579	24813	26912	25602	25167	25286	23929	23700	22652	19790	..	20260	21901	17690	19686	24257	17865	19300	20977	21496	21057	22771	19172	21288	20686	20570	20202	18645	18807	19244	19948	19521	22509	21923	24017	21791	22619	23229	22336
