bevægelsestype	ejendomskategori	postnumre	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Solgte boliger	Parcel-/rækkehus	4470 Svebølle	10	16	7	11	11	21	19	16	17	12	9	10	13	9	6	5	16	4	9	4	6	6	6	1	2	6	5	6	6	10	7	2	4	2	5	3	6	4	5	8	4	5	3	2	3	8	5	9
Solgte boliger	Parcel-/rækkehus	4480 Store Fuglede	6	2	2	2	2	4	4	7	3	7	6	0	6	3	3	1	2	2	1	4	0	0	0	0	0	3	4	3	2	2	0	0	1	0	2	0	1	0	1	3	0	0	0	1	1	2	1	2
Solgte boliger	Parcel-/rækkehus	4490 Jerslev Sjælland	6	10	6	11	14	10	11	12	10	11	6	8	12	12	10	11	11	7	7	2	3	6	3	4	2	3	6	1	3	2	3	4	3	2	2	3	3	2	5	4	5	3	3	7	5	2	4	5
Solgte boliger	Parcel-/rækkehus	4500 Nykøbing Sj	32	21	18	26	29	26	23	31	30	33	27	21	26	22	34	26	15	20	19	11	7	14	12	12	10	16	15	11	15	10	14	9	8	7	11	16	11	11	19	15	16	10	14	13	10	11	20	11
Solgte boliger	Parcel-/rækkehus	4520 Svinninge	16	9	12	13	9	14	11	10	22	22	12	17	11	10	19	17	9	7	7	4	4	10	7	5	2	5	9	6	3	7	6	4	5	4	7	7	6	8	6	6	6	7	3	10	8	9	8	8
Solgte boliger	Parcel-/rækkehus	4532 Gislinge	9	4	6	2	6	2	11	2	6	10	8	2	5	7	4	5	8	10	1	1	2	5	4	3	0	5	4	4	1	0	6	1	1	2	3	4	1	2	2	0	3	0	1	4	3	5	1	4
Solgte boliger	Parcel-/rækkehus	4534 Hørve	8	14	9	8	13	7	3	10	13	14	17	9	6	14	7	4	2	6	5	8	1	5	3	2	2	5	3	6	5	2	3	5	5	8	6	2	1	4	1	3	4	6	4	3	6	6	10	3
Solgte boliger	Parcel-/rækkehus	4540 Fårevejle	6	15	6	7	14	14	8	16	13	16	9	7	14	5	6	10	12	8	7	2	2	4	8	5	5	3	2	1	8	2	5	5	9	5	2	2	4	6	8	4	3	5	8	5	6	12	10	7
Solgte boliger	Parcel-/rækkehus	4550 Asnæs	12	11	9	11	11	17	11	13	14	21	14	11	9	8	11	10	9	12	6	6	8	4	10	4	8	6	7	4	5	2	5	6	6	4	9	2	4	6	2	5	1	6	5	10	8	9	7	3
Solgte boliger	Parcel-/rækkehus	4560 Vig	7	8	8	7	9	11	7	9	22	12	12	10	13	9	10	8	8	8	5	5	3	0	6	3	3	3	4	2	3	4	0	4	4	3	3	2	2	3	0	2	5	4	5	6	6	2	9	5
Solgte boliger	Parcel-/rækkehus	4571 Grevinge	5	6	6	5	6	11	6	6	3	12	4	3	8	7	4	6	3	6	2	3	2	3	2	3	2	1	5	0	2	4	1	2	1	2	1	4	1	2	2	3	0	3	3	2	2	1	2	0
Solgte boliger	Parcel-/rækkehus	4572 Nørre Asmindrup	3	4	3	2	3	1	3	4	0	6	3	4	3	1	5	4	0	1	2	2	0	0	2	3	0	2	0	1	0	2	1	1	3	0	1	1	0	0	0	2	2	0	0	0	2	1	4	0
Solgte boliger	Parcel-/rækkehus	4573 Højby	5	8	8	4	1	5	9	13	6	11	5	4	8	11	10	2	6	6	5	2	2	1	2	2	2	5	4	1	3	3	1	1	3	3	3	4	1	0	5	2	2	5	4	2	5	5	1	5
Solgte boliger	Parcel-/rækkehus	4581 Rørvig	5	5	2	4	6	4	9	3	3	7	5	2	7	6	4	2	1	3	0	1	2	4	4	2	2	4	6	1	4	1	2	4	4	4	1	3	1	3	2	5	2	3	6	5	4	4	6	6
Solgte boliger	Parcel-/rækkehus	4583 Sjællands Odde	4	5	5	3	3	8	5	8	1	3	4	5	2	1	2	2	3	3	1	2	0	1	1	1	1	0	0	3	2	2	2	0	2	1	2	2	3	2	0	1	3	1	2	3	3	5	3	6
Solgte boliger	Parcel-/rækkehus	4591 Føllenslev	9	12	7	11	8	7	5	2	10	12	6	8	7	7	5	8	0	5	3	3	3	2	1	1	0	4	4	2	3	0	2	2	2	0	3	0	3	0	1	1	1	2	3	3	2	1	4	1
Solgte boliger	Parcel-/rækkehus	4592 Sejerø	..	..	..	..	..	..	..	..	..	0	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1
Solgte boliger	Parcel-/rækkehus	4593 Eskebjerg	4	3	3	5	2	5	3	0	4	4	3	3	1	0	2	2	1	0	2	2	0	0	2	4	0	1	0	0	0	1	2	0	3	1	0	0	1	1	1	1	1	2	2	1	2	2	1	3
