priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	8382 Hinnerup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10967	10146	11206	10431	12415	12219	12636	15031	14082	15865	17166	15965	16558	15868	16240	14551	16540	16986	15348	13627	15498	15802	15370	15406	16534	14069	15623	14761	14452	15102	15163	16926	14652	14114	16030	15552	15362	14649	15049	13736	14075	15226	14690	14465	16248	15338	15614	14526
Første udbudspris	Parcel-/rækkehus	8400 Ebeltoft	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7782	8428	9458	9264	8683	8619	9647	10803	11288	12150	12288	13462	13606	14928	13514	15063	13622	15478	12636	15156	13293	14491	14919	14857	14267	12503	11702	12300	13056	12711	13296	13070	11743	10718	12634	12289	12464	12708	10517	11977	10658	13039	10676	10619	11319	11523	10085	10708
Første udbudspris	Parcel-/rækkehus	8410 Rønde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7836	9050	8627	10712	9954	8820	10359	11357	9411	12308	14110	14133	13293	13484	15404	13670	12964	12740	13205	17259	13205	12928	12729	13460	13840	14516	11204	11214	12571	13034	14881	10828	11873	10860	11800	10300	12919	12045	11716	10235	10872	11928	12714	13800	11557	12170	12574	14573
Første udbudspris	Parcel-/rækkehus	8420 Knebel	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6229	7728	..	7778	8393	8458	10411	10068	11321	8508	11532	9159	11506	..	11878	..	13034	11217	12210	..	..	10801	..	9418	..	..	9305	..	..	..	..	9276	..	..	6188	13524	..	..	10798	..	..	..	7684	10948	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8444 Balle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5766	..	5319	..	4709	5191	..	..	6279	..	..	7139	..	..	..	..	8186	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	8450 Hammel	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8128	8536	7212	8503	9188	8247	8842	9566	9808	11795	13979	11331	12622	13128	10145	12965	12024	11845	13333	13577	13037	12741	12644	12247	12222	11472	13270	11357	12311	12854	12289	14014	12272	10975	11474	10018	11022	12394	11058	12417	12740	13220	10291	10755	10384	11869	11017	13831
Første udbudspris	Parcel-/rækkehus	8462 Harlev J	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8852	9356	9188	..	9363	9754	12087	12644	..	15103	15340	..	16100	16264	17390	17247	16020	16465	..	..	13223	14571	..	15086	13093	14275	14322	13147	16783	13796	15196	13231	13908	14034	12224	14046	12356	14518	13410	13979	13982	13136	12571	14238	13941	15001	14987	15544
Første udbudspris	Parcel-/rækkehus	8464 Galten	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9360	9853	10429	8949	10480	11228	11673	13443	13611	14282	14113	14889	15570	15087	15542	15804	14585	14782	14243	13785	15962	13391	14069	13689	14363	13481	13637	14032	13918	13132	13261	14197	12389	13966	13243	13672	14393	13744	13358	14044	12709	13474	13675	13504	14415	13363	13132	12642
Første udbudspris	Parcel-/rækkehus	8471 Sabro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9088	7395	..	7848	..	9810	12478	10795	11962	14507	15550	9768	14310	12872	15289	17626	11724	14295	15221	..	15422	13139	14453	14983	13019	15132	14277	13932	16490	13800	14536	11957	15465	15929	11689	14174	..	..	..	12639	14198	12544	14746	16298	14306	14635	12904	15880
Første udbudspris	Parcel-/rækkehus	8472 Sporup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5340	..	..	..	4886	..	..	2896	5925	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7356	..	7701	..	..	..	8089	..	..	..	..	..	..	..	..	..	..	..	..	..
