priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	8990 Fårup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5944	5737	..	5209	5898	6386	6122	6350	7509	..	7258	..	7701	7112	..	11412	7910	7893	..	9115	..	7481	..	..	..	7515	7265	..	7360	7924	10453	..	..	7273	..	..	..	7053	..	6530	5997	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9000 Aalborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10696	10033	10642	11467	11764	12312	12450	14979	14100	16098	15982	16410	17601	18346	18547	16573	19018	15928	17449	18072	16129	16817	16817	16435	17211	16237	17477	15862	17088	18286	17511	18101	17479	16243	17447	18165	16009	17390	16214	17439	16216	18109	17534	17934	18048	18030	17940	20340
Første udbudspris	Parcel-/rækkehus	9200 Aalborg SV	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8924	9098	8782	9446	9168	10403	10833	11828	11224	11938	12505	14902	13750	12971	15165	13424	13356	14602	12960	12803	12548	13364	12365	13401	14667	13463	13081	13035	12454	13867	13797	13722	13087	13753	13207	13311	12905	14436	13246	12310	13110	14039	13962	13487	13976	13878	13976	14479
Første udbudspris	Parcel-/rækkehus	9210 Aalborg SØ	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9568	8744	10203	10362	10730	10303	10737	11212	12117	13387	13129	13598	13743	14091	15043	15203	14643	14796	15223	14800	16060	14591	14575	14569	15311	13815	15054	14046	14081	13782	13302	14027	13409	13781	13932	14913	13373	14905	14258	15117	14798	15389	14468	14706	15126	14324	15444	14702
Første udbudspris	Parcel-/rækkehus	9220 Aalborg Øst	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8309	9046	7640	8951	9875	9496	9304	10172	10775	10315	11947	12564	11943	12822	10234	12506	12951	11967	11445	13559	12279	11560	9722	11305	10535	12417	11207	12387	12341	11920	11869	12433	10521	11700	11112	12448	11241	11456	11471	12353	11761	11288	12134	12356	13767	12556	12280	12239
Første udbudspris	Parcel-/rækkehus	9230 Svenstrup J	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7429	7541	7527	8161	7645	8111	8870	9785	9987	11495	11750	11151	11209	11676	10734	11427	10984	11323	11732	11999	12464	11917	11089	11931	11452	11740	12598	10590	11632	12502	11303	11781	11743	11445	11584	11015	11587	12628	11547	10763	11031	11863	11644	11843	11704	10838	11622	11411
Første udbudspris	Parcel-/rækkehus	9240 Nibe	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5303	5512	8452	6778	5936	6964	7369	6773	7542	8105	7249	10425	9011	9820	10143	8360	7633	11011	9445	11467	10314	10356	9500	9863	10653	9972	9291	9398	10132	9880	9958	10124	9214	8381	9081	10634	11731	10384	9943	9352	8031	11390	9205	10149	10254	10767	9834	11187
Første udbudspris	Parcel-/rækkehus	9260 Gistrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8393	7161	10575	7721	9310	8961	9983	10706	10157	12647	11941	11258	12330	13056	11039	15500	11485	11287	12501	16260	12628	13086	15648	13468	11454	11957	14154	12223	12792	15638	11184	13685	12471	13884	10446	14146	10930	12701	13601	15101	13265	11875	12215	12634	14646	13108	13826	10853
Første udbudspris	Parcel-/rækkehus	9270 Klarup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6549	7460	7895	8154	8188	9481	9647	8984	9149	11296	..	11694	11714	11584	11104	12580	14325	14219	12603	..	..	11543	11605	12686	12111	10527	13141	12497	11805	12579	10789	10846	12132	12086	..	13850	11570	12068	12853	10862	12272	13396	13414	12461	14325	13337	14268	14769
Første udbudspris	Parcel-/rækkehus	9280 Storvorde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5379	6508	6284	5933	6590	7554	6313	6778	7393	8697	7420	10630	8369	9323	9091	8806	9261	8449	9602	9141	9218	10484	10599	8511	8133	9510	9110	9282	9784	10310	9126	9508	10182	9777	8347	8356	8311	8923	9060	9389	..	8606	9281	8933	8758	10080	10002	9555
