priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	6971 Spjald	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5163	..	..	..	..	4655	4555	4753	5240	..	..	..	6056	6422	5658	6368	..	..	..	7825	..	..	..	6215	6179	..	..	..	..	..	..	..	..	..	..	..	..	4513	..	..	5152	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6973 Ørnhøj	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6980 Tim	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3247	..	3869	4760	..	3852	3978	..	..	4917	4577	4963	..	..	..	..	..	..	..	..	..	..	5367	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6990 Ulfborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4692	5867	..	4735	4143	5467	5457	4381	5827	5691	5201	5722	5787	5153	5460	5437	6739	6365	6884	7740	7674	..	7118	6752	6290	6615	8471	7241	7967	6623	6290	5552	7727	7544	8227	6260	..	5774	5124	7014	7046	5154	5642	5872	7272	4858	4909	4618
Første udbudspris	Parcel-/rækkehus	7000 Fredericia	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8213	8523	8708	8740	8808	8917	8734	9106	10551	10650	11369	11988	11136	11305	11970	13612	13549	13409	13353	12792	12474	12437	12685	12550	12134	11966	11872	12651	12235	12112	11583	11695	12489	11134	11167	11949	11167	11060	11419	10629	10710	11051	10118	11020	11296	11285	11127	10370
Første udbudspris	Parcel-/rækkehus	7080 Børkop	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7723	7437	8045	8979	8662	9648	9299	9497	10093	11507	10578	11961	11463	11533	13220	13577	13596	13645	13361	11938	12206	12090	12686	12099	10577	12404	12646	11591	14377	11782	14161	11949	10867	10668	12295	10657	11084	11419	10570	11215	10298	11069	11265	10023	11091	11146	9416	10359
Første udbudspris	Parcel-/rækkehus	7100 Vejle	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8416	8544	9156	9010	9354	10035	10147	10627	11302	11630	12152	13341	13232	14179	13497	14623	14061	14394	14522	14391	14118	14162	12812	14241	13055	13522	13586	13964	13582	13277	12828	12140	12339	12517	12749	12091	12074	12785	12121	11493	11071	11822	12204	12066	12738	14088	12763	12738
Første udbudspris	Parcel-/rækkehus	7120 Vejle Øst	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10231	10336	12650	12275	12742	13125	13311	11472	16371	13639	14936	16690	13798	17751	17089	18223	17657	22487	16822	16188	20843	18679	16692	16898	17532	15254	15691	17707	19421	15619	15769	17661	18474	17619	16161	18749	15807	14595	14260	14265	17116	15547	16408	18797	15493	16794	16608	17228
Første udbudspris	Parcel-/rækkehus	7130 Juelsminde	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8219	6240	6414	7045	8174	7329	7114	7440	8303	9131	9412	8230	13154	9813	10204	10835	10876	12008	15360	10346	14996	9969	11406	9937	12443	9157	9832	9496	10479	8284	13675	9968	10315	10481	7367	11663	12446	8668	8596	7716	8462	8916	8686	7908	9655	11229	9056	8323
Første udbudspris	Parcel-/rækkehus	7140 Stouby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5290	6541	5814	..	5257	6429	6444	5931	6224	..	7863	8587	8383	8612	8405	9488	11878	10876	..	..	..	..	10818	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9239	..	..	..
Første udbudspris	Parcel-/rækkehus	7150 Barrit	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5368	..	6862	7797	8575	..	..	9601	8569	..	..	9619	..	..	..	7091	7252	..	8554	..	7410	..	..	..	..	..	..	..	..	..	..	..	6828	..	..	..	..	6383	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7160 Tørring	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7436	..	5879	5746	6269	7261	6326	6858	7899	8459	8184	9476	9661	7962	9834	8381	9260	10598	8959	8898	11417	12114	10454	9871	10157	8741	9711	8754	9520	9487	9137	6987	10407	8694	8981	..	9271	8505	9343	8888	7527	7778	7550	7189	7751	9007	7805	8619
Første udbudspris	Parcel-/rækkehus	7171 Uldum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5687	..	..	..	6142	6702	5435	8996	6846	7937	..	6729	8105	8976	9567	..	..	10504	9161	..	..	..	..	..	8261	..	..	..	..	..	..	..	..	..	9129	7122	..	7721	..	..	..	..	5500	..	8032	..	..	..
Første udbudspris	Parcel-/rækkehus	7173 Vonge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9232	..	..	..	..	..	..	..	9216	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7182 Bredsten	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7678	7081	7232	..	7341	8321	7487	8901	10355	8641	8889	8245	10223	11359	12161	11186	11532	10249	12019	..	12097	..	8578	..	..	..	11616	12236	..	..	..	..	..	10322	..	..	..	10166	..	..	..	7510	..	8069	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7183 Randbøl	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5839	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7184 Vandel	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5408	..	5573	..	..	6602	..	..	..	..	..	..	..	..	..	..	..	..	..	9945	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	7190 Billund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6977	6924	7415	8152	7300	7775	7603	7765	7985	8786	8560	8406	9030	9396	9665	9421	9729	11736	9783	..	..	10861	11268	11093	10327	9752	10665	10527	10245	11035	10566	9339	8721	10271	9381	10458	9621	9864	9823	11372	8976	10747	10155	9810	9581	11248	11114	11967
Første udbudspris	Parcel-/rækkehus	7200 Grindsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6719	6733	5950	7508	6650	7047	6825	6727	7229	6843	7409	7512	7597	6885	8619	7445	8527	8433	9901	8208	7160	8647	9832	9174	8315	7846	9177	9157	9056	8134	9165	10492	7910	9689	8748	7588	8375	8810	8210	7433	8386	7976	7733	8130	8989	9331	8513	10805
