priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	9681 Ranum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3718	4189	3645	..	..	4284	4361	4155	..	..	..	..	6473	..	..	..	..	4594	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9690 Fjerritslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4403	4265	4485	3966	4577	4798	5201	4729	4939	4207	5659	5386	6658	6442	5490	5900	7782	5848	6813	6330	6430	6685	6167	6250	7286	6930	7528	6837	6449	8527	6370	6253	6506	8346	6912	5430	..	6346	6119	5384	5459	7405	6283	6261	7366	7145	6946	7535
Første udbudspris	Parcel-/rækkehus	9700 Brønderslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5583	6353	6372	6344	6030	5590	6066	6085	6177	7009	7264	6762	6938	7486	7395	8214	7859	7948	7430	8200	9230	8745	8346	8423	8761	8002	8424	6420	7807	8405	8921	7643	7710	7063	7378	7437	8046	7109	6822	8254	8384	6916	8541	7335	8071	7506	8240	7893
Første udbudspris	Parcel-/rækkehus	9740 Jerslev J	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3741	3867	4461	4999	4231	4050	5413	4731	4644	5026	3873	3943	5112	6236	5651	5549	5439	4485	..	..	6250	..	5575	..	..	..	..	5162	6135	..	..	..	..	..	6402	..	6241	..	..	..	..	..	9504	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9750 Østervrå	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4042	4295	3533	..	..	..	3773	4649	..	..	5273	5240	4402	5020	6068	5873	..	..	..	..	..	..	4224	..	4600	2699	..	..	..	..	..	5380	..	..	..	..	..	..	..	5756	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9760 Vrå	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4297	3824	5158	3973	4233	4320	4809	4613	5828	4631	5640	4630	5571	5390	5796	5290	5946	4934	6399	4596	4647	7191	6034	5872	6506	5011	5529	5775	8001	5132	5660	5904	6462	5407	5952	4818	5400	5112	..	4698	9063	5742	..	5642	5070	5760	6251	4984
Første udbudspris	Parcel-/rækkehus	9800 Hjørring	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6251	6040	6344	6297	6833	6789	7117	6824	7591	7599	7509	7761	8676	8917	8454	9320	9442	9326	9425	10152	9293	10072	8794	8984	9497	9616	9225	9877	9333	9438	8969	8837	10231	9040	9160	8848	9125	8829	8328	8692	8665	9083	10373	9194	9231	9120	9296	9757
Første udbudspris	Parcel-/rækkehus	9830 Tårs	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3637	5654	4194	..	5058	5254	5131	6052	5187	3798	4976	4445	4160	5019	5202	6287	5854	4914	5738	5567	..	..	..	6129	..	5787	5212	..	..	..	5295	4326	..	6449	..	..	5800	..	7016	..	6240	..	5249	..	5374	..	..	..
Første udbudspris	Parcel-/rækkehus	9850 Hirtshals	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5838	6264	5769	5565	6253	6431	5223	5746	5839	5991	6210	6196	6588	7307	7082	6675	7662	6335	7299	7558	6122	7470	7475	8313	6728	7069	8463	9158	7315	9748	6857	7178	9277	9378	6480	6898	6434	6187	6130	6165	6987	8389	7866	5481	8258	5731	5739	5409
Første udbudspris	Parcel-/rækkehus	9870 Sindal	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5148	4222	4554	4521	4141	5939	5496	4589	4707	4982	5501	5855	5786	5457	5369	5644	5728	6177	6139	5676	8331	5989	5176	6626	5816	7333	6172	7367	7177	5818	6473	8570	6853	7037	5015	..	..	5856	4328	4564	5122	7880	3917	6207	5467	6801	4827	6254
Første udbudspris	Parcel-/rækkehus	9881 Bindslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3658	..	3953	5697	5430	5439	..	5895	7339	5627	..	7278	9122	6531	7277	6620	6727	7148	5338	..	8834	..	..	..	..	7552	7031	..	6987	5003	5416	7308	7266	5807	4572	..	5705	..	..	..	..	..	6988	4981	4030	5220	..
Første udbudspris	Parcel-/rækkehus	9900 Frederikshavn	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6705	6513	6373	6599	6655	7128	6736	6984	7080	7982	7545	8565	7811	8134	8372	8055	8637	7847	8414	9034	8706	8536	8672	9252	8739	8645	8550	8283	8450	9081	8996	8157	8055	8795	8444	8072	7908	8083	7713	8212	6643	8144	7723	7683	8531	8079	8540	8173
Første udbudspris	Parcel-/rækkehus	9940 Læsø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3506	6449	..	4758	4362	5295	3923	5661	..	6958	..	7724	..	8050	7241	..	..	7478	..	..	..	..	8808	..	..	..	7008	..	..	..	..	..	..	..	10439	..	7154	6627	..	..	..	..	6689	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9970 Strandby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5541	..	7300	..	..	..	..	..	7677	6257	..	..	8237	7036	7782	..	8004	8757	..	..	..	7663	..	..	8578	8074	..	..	..	7787	..	..	..	6614	..	..	..	6372	7297	..	..	..	6220	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9981 Jerup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6244	..	..	..	6098	..	..	..	..	..	..	..	6183	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	9982 Ålbæk	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6211	..	..	..	5487	6924	..	..	..	7976	8267	..	..	8048	9386	..	..	..	8472	..	..	..	..	..	..	..	7520	..	..	..	..	..	..	..	..	..	..	..	..	7536	..	..	7326	5939	6766	..	..	..
