priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	4640 Faxe	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7710	8806	8495	8726	8898	9139	9520	10073	10211	11906	11771	10561	12734	11630	12954	12070	12415	13271	12775	9563	..	11825	11353	..	15702	9584	10814	10329	9245	9253	..	7648	7164	8001	..	5483	8658	7884	6624	9089	8936	8522	6584	7202	8732	6593	9518	7972
Første udbudspris	Parcel-/rækkehus	4652 Hårlev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9116	10086	10225	8617	11459	11068	10039	13329	12916	14384	13576	13349	16987	14342	15791	15601	14445	14974	14955	..	..	..	15457	12241	11756	12701	10291	11260	..	11455	12927	11887	10010	..	11304	9798	..	9772	9017	10254	8726	10107	9802	9910	8224	9260	10897	8430
Første udbudspris	Parcel-/rækkehus	4653 Karise	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7730	8643	9022	9488	10687	10975	10870	11404	11529	13458	12656	13878	14893	13361	13683	13748	14412	12697	10964	..	..	13127	10220	..	..	11254	..	8101	11099	10092	..	..	8850	..	7642	..	..	9480	8259	8292	8362	..	8839	9556	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4654 Faxe Ladeplads	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8674	8976	9807	9862	10423	10962	10895	12115	11494	11784	13246	12813	14489	13522	13498	15766	11284	16177	..	..	..	12151	..	13164	..	12592	9968	12903	11541	10068	..	12090	..	9277	8701	..	8001	8758	..	..	18372	7216	11871	8304	7836	9184	11315	11033
Første udbudspris	Parcel-/rækkehus	4660 Store Heddinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7504	8012	8954	8718	9244	10267	10047	9444	10545	11609	13702	12562	11287	12210	12793	13850	13400	13582	15180	10843	11548	10598	11324	10459	11595	9547	10311	9072	10986	8824	9662	..	7150	7398	7645	..	8341	7056	..	7904	8999	6779	8186	8469	9244	7414	8763	8902
Første udbudspris	Parcel-/rækkehus	4671 Strøby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10983	17603	..	10462	11694	..	..	14884	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11976	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4672 Klippinge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9391	9425	7398	..	9871	9692	..	10174	10405	..	..	..	..	..	12523	13666	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7089	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4673 Rødvig Stevns	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9718	..	..	7768	8832	10767	10876	..	10550	10781	..	..	..	..	16213	..	..	16405	..	..	..	13277	..	..	10478	11738	..	..	6289	9873	..	9688	..	10537	7336	..	..	..	7531	8586	..	..	9076	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	4681 Herfølge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11476	13389	12279	12552	12618	13351	14666	15519	16284	17949	18241	18773	21153	18122	19446	18951	20225	19898	..	..	..	20309	13939	16138	..	13990	15915	..	17968	12476	..	12718	14472	14492	15476	17131	14620	13435	11805	12970	14429	15702	..	12933	15557	15090	15433	13815
Første udbudspris	Parcel-/rækkehus	4682 Tureby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10917	10644	..	11593	9743	..	12554	11310	14058	15930	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14802	..	..	..	..	..	11709	..	..	10246	9692	..	..	..	10183	..	..	..	..	..	..	..	..	..
