priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	3360 Liseleje	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15763	..	9941	..	..	12596	..	..	..	22007	..	..	18556	..	..	..	19962	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9604	..	..	..	..	8980	..	..	11154	9894	..	..
Første udbudspris	Parcel-/rækkehus	3370 Melby	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10279	..	11452	14123	11556	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	3390 Hundested	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9946	11333	11170	12123	11129	12729	13651	14469	14550	15531	17188	17264	18458	18870	17303	17253	17262	17981	17914	15853	15059	14926	12703	14676	14918	12572	12516	13006	10706	11021	11408	10767	11350	10715	10632	10551	10126	12094	9485	10398	9744	10134	9458	9724	11551	10315	10223	9841
Første udbudspris	Parcel-/rækkehus	3400 Hillerød	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14687	14233	15447	15362	16036	17615	18435	20192	20994	22474	24073	26719	25634	24934	25508	25258	23339	23325	24914	21522	20855	19313	21104	19498	19734	19509	19639	20013	20313	19853	19719	18905	18540	19704	17616	18915	18237	17770	17740	18241	18126	17778	18206	18775	18254	19879	19568	18382
Første udbudspris	Parcel-/rækkehus	3450 Allerød	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15030	16436	17037	16876	18095	19431	20934	21494	22064	24314	27776	27777	27248	24769	27627	26590	27186	25692	24962	23864	21346	21747	22176	21141	20742	21617	22826	21987	20896	21990	21093	21345	20218	21184	20752	18689	20677	20060	20892	20971	20776	21649	21626	21206	21175	20963	21768	21387
Første udbudspris	Parcel-/rækkehus	3460 Birkerød	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18898	17970	17858	19141	20115	22983	22917	25490	27739	28772	30140	33464	31751	34139	30616	32369	30655	30290	28839	28422	29299	25170	26412	26486	24461	26609	25631	27952	25366	26636	27349	24410	23996	25094	25948	24910	25587	25060	24607	25248	24427	24552	24382	25292	24364	26995	25704	27385
Første udbudspris	Parcel-/rækkehus	3480 Fredensborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15272	16166	16986	16549	16696	17857	19434	21381	22575	25311	25973	27228	28505	27899	25710	26719	26258	27263	27770	25433	24091	23338	22928	21580	20832	22533	19751	21116	20187	21052	20220	19947	18425	20630	21281	18924	17318	19165	17406	19790	19579	18716	19573	18115	19269	17381	19500	21466
Første udbudspris	Parcel-/rækkehus	3490 Kvistgård	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	19122	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18479	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18872	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	3500 Værløse	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17377	16975	17665	17436	19208	19054	22271	23482	27035	27677	27148	30190	30997	31001	28254	30067	30039	27082	27039	27612	24761	25341	26102	26897	22773	24842	24380	26416	24337	25909	25855	26899	25771	23161	23869	24661	25117	24635	24247	24744	25298	25828	25309	25429	27202	26740	26848	27202
Første udbudspris	Parcel-/rækkehus	3520 Farum	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14509	15046	15342	17879	16180	18674	19077	17959	21312	24621	26956	27533	27747	26600	26433	26706	25617	26130	26372	27181	22559	23589	22494	22398	23349	21310	23336	20456	22135	22124	22662	20265	21640	21566	20568	21295	21549	21533	19930	21923	21402	21263	22781	21247	22346	23374	25318	23039
