priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	6261 Bredebro	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3577	..	5046	4291	4145	3268	4812	4515	4648	4732	4499	5699	4746	5087	5563	7195	4162	5697	..	..	5544	5380	..	4929	3979	4726	..	5761	5349	4337	..	..	..	..	..	..	..	6134	5006	..	3698	..	3409	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6270 Tønder	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6746	6556	4979	5857	5082	6437	6584	6462	6410	6630	6557	6111	7364	7008	7273	7548	5911	7229	6942	7477	8768	7215	7925	7981	7643	8377	8374	8449	7355	8763	7659	7357	6287	8022	7661	6146	8018	6669	6875	6322	7893	8068	8290	6605	7203	6555	7297	6281
Første udbudspris	Parcel-/rækkehus	6280 Højer	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3425	..	5410	3494	5953	3290	4726	..	..	4585	..	4364	5257	6163	..	6533	..	6509	..	..	..	5654	..	..	6427	..	..	..	..	..	4734	4661	3355	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6300 Gråsten	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6641	6202	7451	7154	5880	6265	6215	6910	6713	7433	7402	6946	7526	6878	7231	8256	8174	9065	7768	6975	8355	9054	7028	8513	8096	9735	8883	8813	8297	9206	7539	8913	9068	6674	7783	6829	6944	5403	9731	5424	9015	9236	7260	9640	9833	6244	6745	7296
Første udbudspris	Parcel-/rækkehus	6310 Broager	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6296	6138	6984	7591	6561	6488	5889	7523	7034	7534	6852	..	8426	8280	8628	8673	8615	8039	8498	7475	7700	7764	8855	7828	9187	8690	8828	8485	8967	..	8663	..	8298	..	8107	10084	..	8791	7497	7600	7537	8007	8734	..	6615	..	..	..
Første udbudspris	Parcel-/rækkehus	6320 Egernsund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8619	6618	..	..	..	7355	..	..	8135	11499	..	..	13588	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6330 Padborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5546	6037	5365	6843	5406	5740	6363	6301	6752	6531	7011	6035	6827	6181	6653	7945	6852	6483	8530	8521	7040	7614	7400	8204	6583	7268	6588	9054	6027	7149	6577	6236	..	7074	6549	6273	5773	5054	6656	..	6492	5553	7149	7573	5697	7286	5913	..
Første udbudspris	Parcel-/rækkehus	6340 Kruså	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5005	5811	4604	5421	6401	4981	5892	5341	6768	8367	7897	7253	6748	7412	7709	8576	..	7339	8878	..	..	8225	7586	8864	8041	11215	6131	14454	7707	..	9815	11301	8271	..	..	9949	..	4914	4868	6919	..	7659	5269	..	8126	..	..	..
Første udbudspris	Parcel-/rækkehus	6360 Tinglev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4507	5341	5263	..	..	4333	..	4800	5254	5989	4675	5666	6805	4501	5852	6380	6017	6666	5882	..	6204	5989	..	..	6640	5738	6379	6003	5522	..	5649	5468	..	..	7221	4742	6491	7110	..	..	..	..	6345	6653	6660	..	..	..
Første udbudspris	Parcel-/rækkehus	6372 Bylderup-Bov	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3513	3825	..	3162	3575	..	4043	..	..	4864	4128	..	..	4242	4303	5546	5763	4484	5143	..	4795	5472	5116	..	3276	..	5268	..	..	..	..	..	..	..	..	..	..	..	3463	..	..	..	..	..	4504	..	..	..
Første udbudspris	Parcel-/rækkehus	6392 Bolderslev	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5691	..	5202	..	..	..	..	..	..	5069	5709	5998	5630	..	..	..	..	..	5572	5047	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5141	..	..	..	..	5000	..	..
Første udbudspris	Parcel-/rækkehus	6400 Sønderborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7967	7753	7871	8646	8638	9031	9022	8818	9473	10135	10922	11132	10440	11310	11824	11576	11062	11959	11528	11019	9982	11512	11707	11123	11455	11349	9995	10071	10965	10211	11241	12028	10242	9937	10841	11246	9087	10725	9564	10701	9669	9222	9002	9132	10527	10853	10264	10601
Første udbudspris	Parcel-/rækkehus	6430 Nordborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4757	5183	5142	5208	5624	5135	5031	5557	5983	6123	6215	6248	6544	6311	6892	6029	6837	6120	6320	7264	6415	6131	6174	5721	5312	7393	6503	6056	5293	7303	5682	4566	7015	4178	5782	5762	5234	4914	5077	6504	5505	5229	5883	6403	4151	5322	4753	4549
